Group,MIT_Binzel
Source,SMASS.mit.edu
Data_file,a000010.sp28.txt
Asteroid_or_meteorite,asteroid
Number,10
Name,Hygiea
Prov_designation,
BDM_class,C
Orbit,MB
Delta_V
Orig_VIS_range,unknown,unknown
Orig_NIR_range,unknown,unknown
Albedo_value
Albedo_uncert
Albedo_reference
Asteroid_diam
Asteroid_diam_uncert
Asteroid_diam_reference
Absolute_magnitude,5.43
Absolute_magnitude_reference,http://hamilton.dm.unipi.it/~astdys2/propsynth/all.syn
Asteroid_semimajor_axis,3.1417827
Asteroid_sin_inclination,0.0889622
Asteroid_eccentricity,0.1356315
Asteroid_NIR_phase_angle
Asteroid_NIR_airmass
Asteroid_solar_distance
Asteroid_geo_distance
Asteroid_NIR_exposure_dur
NIR_telescope,IRTF
NIR_date_observation,18-Feb-0
NIR_UT_time_observation
NIR_stand_star
Asteroid_V_phase_angle
Asteroid_V_airmass
Asteroid_V_exposure_dur
V_telescope
V_date_observation
V_UT_time_observation
V_stand_star
Meteorite_sample_ID,na
Meteorite_gen_type,na
Meteorite_type,na
Meteorite_subtype,na
Meteorite_experimental_cond,na
Meteorite_particulate,na
Meteorite_min_size,na
Meteorite_max_size,na
Meteorite_texture,na
Meteorite_origin,na
Meteorite_lab_source,na
Meteorite_phase_angle,na
Meteorite_incident_angle,na
Meteorite_emission_angle,na
Meteorite_volt,na
Meteorite_date_observation,na
Meteorite_time_observation,na
Meteorite_range,na,na
Normalization,yes
Spliced_by,DeMeo
Column_heading,Wavelength_microns,Reflectance,Uncert,Quality_code
,0.435,0.9638,0.0105,1.0
,0.4375,0.9625,0.0096,1.0
,0.44,0.9538,0.0087,1.0
,0.4425,0.9589,0.0078,1.0
,0.445,0.9644,0.0072,1.0
,0.4475,0.9654,0.0068,1.0
,0.45,0.9564,0.0062,1.0
,0.4525,0.9663,0.0054,1.0
,0.455,0.9717,0.0051,1.0
,0.4575,0.9808,0.0048,1.0
,0.46,0.9737,0.0045,1.0
,0.4625,0.9739,0.0043,1.0
,0.465,0.9686,0.004,1.0
,0.4675,0.9753,0.0038,1.0
,0.47,0.9761,0.0036,1.0
,0.4725,0.9743,0.0035,1.0
,0.475,0.9748,0.0033,1.0
,0.4775,0.9875,0.0032,1.0
,0.48,0.9867,0.0031,1.0
,0.4825,0.9711,0.003,1.0
,0.485,0.9889,0.0029,1.0
,0.4875,0.988,0.0027,1.0
,0.49,0.9907,0.0027,1.0
,0.4925,0.9895,0.0026,1.0
,0.495,0.989,0.0025,1.0
,0.4975,0.9829,0.0024,1.0
,0.5,0.9864,0.0023,1.0
,0.5025,0.9888,0.0022,1.0
,0.505,0.9896,0.0022,1.0
,0.5075,0.9928,0.0021,1.0
,0.51,0.9961,0.0022,1.0
,0.5125,0.9901,0.0021,1.0
,0.515,0.9764,0.0026,1.0
,0.5175,0.9911,0.002,1.0
,0.52,0.9955,0.002,1.0
,0.5225,0.9868,0.0019,1.0
,0.525,0.9797,0.0019,1.0
,0.5275,0.9961,0.0017,1.0
,0.53,0.9937,0.0017,1.0
,0.5325,0.9986,0.0016,1.0
,0.535,0.9998,0.0016,1.0
,0.5375,0.9961,0.0016,1.0
,0.54,0.9988,0.0015,1.0
,0.5425,1.0,0.0015,1.0
,0.545,0.9993,0.0015,1.0
,0.5475,0.9988,0.0014,1.0
,0.55,1.001,0.0014,1.0
,0.5525,1.0044,0.0014,1.0
,0.555,0.998,0.0014,1.0
,0.5575,1.0,0.0014,1.0
,0.56,1.0061,0.0013,1.0
,0.5625,1.0016,0.0013,1.0
,0.565,1.0025,0.0013,1.0
,0.5675,0.9988,0.0013,1.0
,0.57,1.0017,0.0013,1.0
,0.5725,1.0009,0.0012,1.0
,0.575,0.9977,0.0012,1.0
,0.5775,1.0,0.0012,1.0
,0.58,1.0049,0.0012,1.0
,0.5825,1.0066,0.0012,1.0
,0.585,1.0011,0.0012,1.0
,0.5875,0.9959,0.0011,1.0
,0.59,1.0049,0.0011,1.0
,0.5925,1.005,0.0011,1.0
,0.595,1.0026,0.0011,1.0
,0.5975,0.9994,0.0011,1.0
,0.6,1.0005,0.0011,1.0
,0.6025,1.0048,0.0011,1.0
,0.605,1.0035,0.0011,1.0
,0.6075,1.0019,0.0011,1.0
,0.61,1.0041,0.0011,1.0
,0.6125,1.0019,0.001,1.0
,0.615,1.0042,0.001,1.0
,0.6175,1.0023,0.001,1.0
,0.62,1.0003,0.001,1.0
,0.6225,1.0012,0.001,1.0
,0.625,1.0032,0.001,1.0
,0.6275,1.0023,0.001,1.0
,0.63,1.0016,0.001,1.0
,0.6325,1.0024,0.001,1.0
,0.635,1.0031,0.001,1.0
,0.6375,1.0006,0.001,1.0
,0.64,1.0037,0.001,1.0
,0.6425,1.0039,0.001,1.0
,0.645,1.0014,0.001,1.0
,0.655,1.0023,0.001,1.0
,0.6575,1.0057,0.0009,1.0
,0.66,1.0077,0.001,1.0
,0.6625,1.0028,0.0009,1.0
,0.665,1.0028,0.0009,1.0
,0.6675,1.0041,0.0009,1.0
,0.67,1.0012,0.0009,1.0
,0.6725,1.0029,0.0009,1.0
,0.675,1.0061,0.0009,1.0
,0.6875,1.0035,0.0009,1.0
,0.69,0.9999,0.0009,1.0
,0.6925,0.993,0.0009,1.0
,0.695,0.996,0.0009,1.0
,0.6975,1.0031,0.0009,1.0
,0.7,1.0037,0.0009,1.0
,0.7025,0.9999,0.0009,1.0
