Group,MIT_Binzel
Source,SMASS.mit.edu
Data_file,a000039.sp07.txt
Asteroid_or_meteorite,asteroid
Number,39
Name,Laetitia
Prov_designation,
BDM_class,Sqw
Orbit,MB
Delta_V
Orig_VIS_range,unknown,unknown
Orig_NIR_range,unknown,unknown
Albedo_value
Albedo_uncert
Albedo_reference
Asteroid_diam
Asteroid_diam_uncert
Asteroid_diam_reference
Absolute_magnitude,6.02
Absolute_magnitude_reference,http://hamilton.dm.unipi.it/~astdys2/propsynth/all.syn
Asteroid_semimajor_axis,2.7687248
Asteroid_sin_inclination,0.1703868
Asteroid_eccentricity,0.069788
Asteroid_NIR_phase_angle
Asteroid_NIR_airmass
Asteroid_solar_distance
Asteroid_geo_distance
Asteroid_NIR_exposure_dur
NIR_telescope,IRTF
NIR_date_observation,13-Aug-9
NIR_UT_time_observation
NIR_stand_star
Asteroid_V_phase_angle
Asteroid_V_airmass
Asteroid_V_exposure_dur
V_telescope
V_date_observation
V_UT_time_observation
V_stand_star
Meteorite_sample_ID,na
Meteorite_gen_type,na
Meteorite_type,na
Meteorite_subtype,na
Meteorite_experimental_cond,na
Meteorite_particulate,na
Meteorite_min_size,na
Meteorite_max_size,na
Meteorite_texture,na
Meteorite_origin,na
Meteorite_lab_source,na
Meteorite_phase_angle,na
Meteorite_incident_angle,na
Meteorite_emission_angle,na
Meteorite_volt,na
Meteorite_date_observation,na
Meteorite_time_observation,na
Meteorite_range,na,na
Normalization,yes
Spliced_by,DeMeo
Column_heading,Wavelength_microns,Reflectance,Uncert,Quality_code
,0.435,0.8967,0.0272,1.0
,0.4375,0.8892,0.0204,1.0
,0.44,0.8931,0.0188,1.0
,0.4425,0.9412,0.0177,1.0
,0.445,0.9244,0.0156,1.0
,0.4475,0.8949,0.0138,1.0
,0.45,0.9294,0.0118,1.0
,0.4525,0.9247,0.0105,1.0
,0.455,0.8733,0.0094,1.0
,0.4575,0.9002,0.0091,1.0
,0.46,0.9344,0.0086,1.0
,0.4625,0.9006,0.0079,1.0
,0.465,0.9166,0.0075,1.0
,0.4675,0.9101,0.007,1.0
,0.47,0.9013,0.0067,1.0
,0.4725,0.9156,0.0064,1.0
,0.475,0.9211,0.0062,1.0
,0.4775,0.9268,0.0058,1.0
,0.48,0.9169,0.0055,1.0
,0.4825,0.9308,0.0053,1.0
,0.485,0.9279,0.005,1.0
,0.4875,0.9159,0.0053,1.0
,0.49,0.8786,0.0051,1.0
,0.4925,0.9548,0.0054,1.0
,0.495,0.971,0.0052,1.0
,0.4975,0.9298,0.0042,1.0
,0.5,0.9576,0.0041,1.0
,0.5025,0.9347,0.0039,1.0
,0.505,0.9296,0.0038,1.0
,0.5075,0.9431,0.0037,1.0
,0.51,0.9613,0.0037,1.0
,0.5125,0.961,0.0035,1.0
,0.515,0.9637,0.0034,1.0
,0.5175,0.9624,0.0033,1.0
,0.52,0.9516,0.0032,1.0
,0.5225,0.9387,0.0031,1.0
,0.525,0.9832,0.0032,1.0
,0.5275,1.0023,0.0031,1.0
,0.53,0.9838,0.0029,1.0
,0.5325,0.9765,0.0028,1.0
