Group,MIT_Binzel
Source,SMASS.mit.edu
Data_file,a000041.sp30.txt
Asteroid_or_meteorite,asteroid
Number,41
Name,Daphne
Prov_designation,
BDM_class,Ch
Orbit,MB
Delta_V
Orig_VIS_range,unknown,unknown
Orig_NIR_range,unknown,unknown
Albedo_value
Albedo_uncert
Albedo_reference
Asteroid_diam
Asteroid_diam_uncert
Asteroid_diam_reference
Absolute_magnitude,7.31
Absolute_magnitude_reference,http://hamilton.dm.unipi.it/~astdys2/propsynth/all.syn
Asteroid_semimajor_axis,2.7645806
Asteroid_sin_inclination,0.2671317
Asteroid_eccentricity,0.3049445
Asteroid_NIR_phase_angle
Asteroid_NIR_airmass
Asteroid_solar_distance
Asteroid_geo_distance
Asteroid_NIR_exposure_dur
NIR_telescope,IRTF
NIR_date_observation,9-May-0
NIR_UT_time_observation
NIR_stand_star
Asteroid_V_phase_angle
Asteroid_V_airmass
Asteroid_V_exposure_dur
V_telescope
V_date_observation
V_UT_time_observation
V_stand_star
Meteorite_sample_ID,na
Meteorite_gen_type,na
Meteorite_type,na
Meteorite_subtype,na
Meteorite_experimental_cond,na
Meteorite_particulate,na
Meteorite_min_size,na
Meteorite_max_size,na
Meteorite_texture,na
Meteorite_origin,na
Meteorite_lab_source,na
Meteorite_phase_angle,na
Meteorite_incident_angle,na
Meteorite_emission_angle,na
Meteorite_volt,na
Meteorite_date_observation,na
Meteorite_time_observation,na
Meteorite_range,na,na
Normalization,yes
Spliced_by,DeMeo
Column_heading,Wavelength_microns,Reflectance,Uncert,Quality_code
,0.435,0.9305,0.0255,1.0
,0.4375,0.8936,0.0223,1.0
,0.44,0.8955,0.0208,1.0
,0.4425,0.897,0.0189,1.0
,0.445,0.8995,0.0171,1.0
,0.4475,0.9359,0.0167,1.0
,0.45,0.9416,0.0154,1.0
,0.4525,0.9636,0.0143,1.0
,0.455,0.9532,0.0133,1.0
,0.4575,0.9546,0.0126,1.0
,0.46,0.9561,0.0117,1.0
,0.4625,0.9491,0.0109,1.0
,0.465,0.9581,0.0104,1.0
,0.4675,0.9535,0.0098,1.0
,0.47,0.9453,0.0092,1.0
,0.4725,0.9445,0.0088,1.0
,0.475,0.9492,0.0084,1.0
,0.4775,0.9522,0.008,1.0
,0.48,0.9595,0.0076,1.0
,0.4825,0.9726,0.0074,1.0
,0.485,0.9731,0.007,1.0
,0.4875,0.9765,0.0067,1.0
,0.49,0.9631,0.0064,1.0
,0.4925,0.9341,0.0062,1.0
,0.495,0.9841,0.0064,1.0
,0.4975,0.9979,0.0061,1.0
,0.5,0.9741,0.0056,1.0
,0.5025,0.9823,0.0055,1.0
,0.505,0.9698,0.0052,1.0
,0.5075,0.9609,0.005,1.0
,0.51,0.9669,0.0049,1.0
,0.5125,0.9766,0.0048,1.0
,0.515,0.9791,0.0046,1.0
,0.5175,0.9727,0.0045,1.0
,0.52,0.9748,0.0044,1.0
,0.53,0.9961,0.0041,1.0
,0.5325,0.9925,0.0039,1.0
,0.535,0.9839,0.0038,1.0
,0.5375,0.9951,0.0037,1.0
,0.54,1.0092,0.0037,1.0
,0.5425,1.0001,0.0036,1.0
,0.545,1.0085,0.0035,1.0
,0.5475,0.9942,0.0034,1.0
,0.55,0.9944,0.0034,1.0
,0.5525,1.0023,0.0033,1.0
,0.555,1.0024,0.0032,1.0
,0.5575,0.9999,0.0032,1.0
,0.56,1.0002,0.0031,1.0
,0.5625,1.0011,0.003,1.0
,0.565,0.9989,0.003,1.0
,0.5675,0.9949,0.0029,1.0
,0.57,1.0047,0.0029,1.0
,0.5725,1.004,0.0029,1.0
,0.575,0.9996,0.0028,1.0
,0.5775,1.0033,0.0028,1.0
,0.58,1.0104,0.0028,1.0
,0.5825,1.0118,0.0027,1.0
,0.585,1.0081,0.0027,1.0
,0.5875,1.0094,0.0026,1.0
,0.59,1.0176,0.0026,1.0
,0.5925,1.0102,0.0026,1.0
,0.595,1.0017,0.0025,1.0
,0.5975,0.9999,0.0025,1.0
,0.6,1.015,0.0025,1.0
,0.6025,1.0109,0.0025,1.0
,0.605,1.0078,0.0024,1.0
,0.6075,1.0044,0.0024,1.0
,0.61,1.0107,0.0024,1.0
,0.6125,1.0098,0.0024,1.0
,0.615,1.0067,0.0023,1.0
,0.6175,1.0032,0.0023,1.0
,0.62,1.0001,0.0023,1.0
,0.6225,1.0022,0.0023,1.0
,0.625,1.0115,0.0023,1.0
,0.6275,1.0011,0.0022,1.0
,0.63,1.0016,0.0022,1.0
,0.6325,1.0054,0.0022,1.0
,0.635,1.0031,0.0022,1.0
,0.6375,1.0061,0.0022,1.0
,0.64,1.004,0.0022,1.0
,0.6425,1.0068,0.0022,1.0
,0.645,0.9988,0.0022,1.0
,0.6475,1.0018,0.0022,1.0
,0.65,1.0053,0.0022,1.0
,0.6525,0.9973,0.0021,1.0
,0.655,1.0054,0.0021,1.0
,0.6575,0.9968,0.0021,1.0
,0.66,0.9985,0.0022,1.0
,0.665,1.0113,0.0021,1.0
,0.6675,1.0045,0.0021,1.0
,0.67,1.0087,0.0021,1.0
,0.6725,1.0028,0.0021,1.0
,0.675,0.9993,0.002,1.0
,0.6775,1.0074,0.0021,1.0
,0.68,1.0076,0.002,1.0
,0.6825,1.0028,0.002,1.0
,0.685,1.0009,0.002,1.0
,0.6875,0.9767,0.002,1.0
,0.69,0.9797,0.0021,1.0
,0.6925,1.0196,0.0022,1.0
,0.695,1.0142,0.0021,1.0
,0.6975,0.999,0.0021,1.0
,0.7,0.9937,0.002,1.0
,0.7025,0.9925,0.0021,1.0
,0.705,0.9978,0.0021,1.0
,0.7075,0.9961,0.0021,1.0
,0.71,0.9987,0.0021,1.0
,0.7125,0.9986,0.0021,1.0
,0.715,0.9935,0.0021,1.0
,0.7175,0.9729,0.0021,1.0
,0.72,0.9828,0.0022,1.0
,0.7225,0.9998,0.0022,1.0
,0.725,0.9806,0.0021,1.0
,0.7275,0.9881,0.0022,1.0
,0.73,0.9921,0.0022,1.0
,0.7325,0.9981,0.0022,1.0
,0.735,1.0007,0.0022,1.0
,0.7375,0.9957,0.0022,1.0
,0.74,0.9907,0.0022,1.0
,0.7425,0.9955,0.0022,1.0
,0.745,0.9993,0.0022,1.0
,0.7475,1.0001,0.0022,1.0
,0.75,0.9993,0.0022,1.0
,0.7525,1.0045,0.0023,1.0
,0.755,0.9986,0.0023,1.0
,0.77,1.0225,0.0024,1.0
,0.7725,1.0033,0.0023,1.0
,0.775,1.0073,0.0024,1.0
,0.7775,1.0157,0.0024,1.0
,0.78,1.0025,0.0024,1.0
,0.7825,1.0103,0.0024,1.0
,0.785,1.0012,0.0024,1.0
,0.7875,1.0075,0.0024,1.0
,0.79,1.0099,0.0025,1.0
,0.7925,1.0002,0.0025,1.0
,0.795,1.022,0.0026,1.0
,0.7975,1.0089,0.0025,1.0
,0.8,1.0002,0.0025,1.0
,0.8025,1.0119,0.0026,1.0
,0.805,1.0008,0.0026,1.0
,0.8075,1.0105,0.0026,1.0
,0.81,1.0035,0.0026,1.0
,0.8125,0.9983,0.0027,1.0
,0.815,0.9818,0.0027,1.0
,0.8175,0.9981,0.0028,1.0
,0.82,0.9707,0.0019,7.0
,0.83,0.9669,0.0018,8.0
,0.835,0.9651,0.0018,8.0
,0.84,0.9597,0.0017,8.0
,0.845,0.9553,0.0017,8.0
,0.855,0.9538,0.0018,7.0
,0.86,0.9485,0.0017,8.0
,0.865,0.9472,0.0018,8.0
,0.87,0.9362,0.0018,8.0
,0.875,0.9423,0.0018,8.0
,0.88,0.9361,0.0017,8.0
,0.885,0.9344,0.0017,8.0
,0.89,0.9291,0.0017,8.0
,0.895,0.929,0.0015,8.0
,0.9,0.9317,0.0015,8.0
,0.905,0.9351,0.0015,8.0
,0.91,0.9346,0.0015,8.0
,0.915,0.9361,0.0015,8.0
,0.92,0.9327,0.0015,8.0
,0.925,0.9306,0.0016,8.0
,0.93,0.9336,0.0016,8.0
,0.945,0.926,0.0015,8.0
,0.95,0.9288,0.0015,8.0
,0.955,0.9363,0.0015,8.0
,0.96,0.9211,0.0014,7.0
,0.965,0.9386,0.0014,8.0
,0.97,0.9375,0.0014,8.0
,0.975,0.9414,0.0014,8.0
,0.98,0.9424,0.0014,8.0
,0.985,0.941,0.0014,8.0
,0.99,0.945,0.0014,8.0
,0.995,0.9447,0.0013,8.0
,1.0,0.9516,0.0013,8.0
,1.005,0.9527,0.0014,8.0
,1.01,0.9536,0.0013,8.0
,1.015,0.9531,0.0013,8.0
,1.02,0.9612,0.0013,8.0
,1.025,0.9587,0.0013,8.0
,1.03,0.9618,0.0013,8.0
,1.035,0.9658,0.0013,8.0
,1.04,0.9682,0.0013,8.0
,1.045,0.9691,0.0013,8.0
,1.05,0.9744,0.0013,8.0
,1.055,0.9724,0.0013,8.0
,1.06,0.9744,0.0013,8.0
,1.065,0.9781,0.0013,8.0
,1.07,0.98,0.0013,8.0
,1.075,0.9853,0.0013,8.0
,1.08,0.989,0.0013,8.0
,1.085,0.9926,0.0012,8.0
,1.09,0.9954,0.0013,8.0
,1.095,0.9953,0.0012,8.0
,1.1,1.0023,0.0013,8.0
,1.105,1.0061,0.0013,8.0
,1.11,1.0046,0.0014,7.0
,1.115,1.0093,0.0016,8.0
,1.12,1.0013,0.0017,5.0
,1.125,1.0091,0.0016,7.0
,1.13,1.0186,0.0013,8.0
,1.135,1.0226,0.0014,8.0
,1.14,1.0277,0.0014,8.0
,1.145,1.0298,0.0014,8.0
,1.15,1.0378,0.0014,8.0
,1.155,1.0368,0.0014,8.0
,1.16,1.0383,0.0014,8.0
,1.165,1.0388,0.0014,8.0
,1.17,1.0396,0.0013,8.0
,1.175,1.0424,0.0012,8.0
,1.18,1.0468,0.0012,8.0
,1.185,1.0514,0.0012,8.0
,1.19,1.048,0.0012,8.0
,1.195,1.0477,0.0012,8.0
,1.2,1.0523,0.0012,8.0
,1.205,1.0568,0.0013,8.0
,1.21,1.0583,0.0013,8.0
,1.215,1.0563,0.0012,8.0
,1.22,1.059,0.0012,8.0
,1.225,1.0603,0.0012,8.0
,1.23,1.0621,0.0012,8.0
,1.235,1.0632,0.0012,8.0
,1.24,1.0666,0.0012,8.0
,1.245,1.0685,0.0012,8.0
,1.25,1.0693,0.0012,8.0
,1.255,1.0709,0.0012,8.0
,1.26,1.0655,0.0013,7.0
,1.265,1.0748,0.0011,6.0
,1.27,1.0771,0.0011,6.0
,1.275,1.0793,0.0011,6.0
,1.28,1.0776,0.0011,6.0
,1.285,1.0808,0.0013,8.0
,1.29,1.0839,0.0013,8.0
,1.295,1.0831,0.0012,8.0
,1.3,1.0816,0.0012,8.0
,1.305,1.0827,0.0012,8.0
,1.31,1.0861,0.0013,8.0
,1.315,1.0874,0.0013,8.0
,1.32,1.0954,0.0014,8.0
,1.325,1.0959,0.0014,8.0
,1.33,1.1002,0.0014,8.0
,1.335,1.0955,0.0016,6.0
,1.34,1.0926,0.0019,5.0
,1.345,1.0996,0.0022,5.0
,1.355,1.1048,0.0021,1.0
,1.36,1.1064,0.0023,2.0
,1.365,1.1093,0.0026,3.0
,1.37,1.1167,0.0019,3.0
,1.375,1.1215,0.002,1.0
,1.38,1.11,0.0026,5.0
,1.385,1.1082,0.0023,8.0
,1.39,1.1164,0.0018,6.0
,1.395,1.1094,0.002,3.0
,1.4,1.1214,0.002,8.0
,1.405,1.1175,0.0021,7.0
,1.41,1.1187,0.0022,8.0
,1.415,1.1195,0.0022,5.0
,1.42,1.1248,0.0019,6.0
,1.425,1.1295,0.0016,6.0
,1.43,1.1271,0.0016,8.0
,1.435,1.1407,0.0017,6.0
,1.44,1.1427,0.0017,6.0
,1.445,1.1414,0.0018,7.0
,1.45,1.1397,0.0019,7.0
,1.455,1.1356,0.0016,8.0
,1.46,1.1368,0.0013,6.0
,1.465,1.1294,0.0017,7.0
,1.47,1.1351,0.0017,8.0
,1.475,1.142,0.0016,8.0
,1.48,1.1415,0.0016,8.0
,1.485,1.1422,0.0016,8.0
,1.49,1.1382,0.0016,7.0
,1.495,1.1412,0.0015,8.0
,1.5,1.1455,0.0015,8.0
,1.505,1.1475,0.0015,8.0
,1.51,1.1483,0.0015,8.0
,1.515,1.1483,0.0015,8.0
,1.52,1.147,0.0016,8.0
,1.525,1.1497,0.0016,8.0
,1.53,1.1483,0.0015,8.0
,1.535,1.1509,0.0015,8.0
,1.54,1.1516,0.0015,8.0
,1.545,1.1503,0.0015,8.0
,1.55,1.1528,0.0015,8.0
,1.555,1.1568,0.0015,8.0
,1.56,1.1535,0.0015,8.0
,1.565,1.152,0.0016,8.0
,1.57,1.1543,0.0016,8.0
,1.575,1.1569,0.0016,8.0
,1.58,1.1548,0.0016,8.0
,1.585,1.1556,0.0016,8.0
,1.59,1.1563,0.0016,8.0
,1.595,1.1545,0.0016,8.0
,1.6,1.1558,0.0017,8.0
,1.605,1.1552,0.0017,8.0
,1.61,1.1546,0.0016,8.0
,1.615,1.1544,0.0016,8.0
,1.62,1.1561,0.0016,8.0
,1.625,1.1514,0.0016,8.0
,1.63,1.1514,0.0016,8.0
,1.635,1.1502,0.0017,8.0
,1.64,1.1526,0.0017,8.0
,1.645,1.1528,0.0017,8.0
,1.65,1.1552,0.0017,8.0
,1.655,1.1551,0.0017,8.0
,1.66,1.1503,0.0017,8.0
,1.665,1.1504,0.0017,8.0
,1.67,1.1492,0.0017,8.0
,1.675,1.1493,0.0017,8.0
,1.68,1.1498,0.0017,8.0
,1.685,1.1509,0.0018,8.0
,1.69,1.1456,0.0017,8.0
,1.695,1.1425,0.0018,8.0
,1.7,1.1425,0.0018,8.0
,1.705,1.1437,0.0018,8.0
,1.71,1.142,0.0018,8.0
,1.715,1.1481,0.0018,8.0
,1.72,1.1418,0.0018,8.0
,1.725,1.1418,0.0018,8.0
,1.73,1.1439,0.0018,8.0
,1.735,1.1454,0.0019,8.0
,1.74,1.142,0.0019,8.0
,1.745,1.145,0.0019,8.0
,1.75,1.1435,0.002,8.0
,1.755,1.1418,0.0018,8.0
,1.76,1.1397,0.0018,8.0
,1.765,1.1392,0.0019,8.0
,1.77,1.1361,0.0019,8.0
,1.775,1.1391,0.0019,8.0
,1.78,1.1414,0.0019,8.0
,1.785,1.1375,0.0019,8.0
,1.79,1.1342,0.002,8.0
,1.795,1.132,0.0022,8.0
,1.8,1.1334,0.0025,8.0
,1.805,1.1376,0.0026,8.0
,1.81,1.1308,0.0029,6.0
,1.815,1.1368,0.0028,6.0
,1.82,1.1369,0.0031,6.0
,1.825,1.137,0.0033,7.0
,1.83,1.1366,0.0038,8.0
,1.835,1.1262,0.0035,2.0
,1.84,1.13,0.003,2.0
,1.845,1.1208,0.0027,2.0
,1.85,1.1343,0.0035,7.0
,1.86,1.1245,0.0028,6.0
,1.865,1.1284,0.0035,1.0
,1.87,1.1286,0.0038,4.0
,1.875,1.1259,0.0035,3.0
,1.88,1.1233,0.0043,3.0
,1.885,1.1215,0.0035,3.0
,1.89,1.1308,0.0034,6.0
,1.895,1.1285,0.0037,8.0
,1.9,1.1276,0.003,4.0
,1.905,1.1244,0.0034,5.0
,1.91,1.1286,0.0036,8.0
,1.915,1.1378,0.004,6.0
,1.92,1.1207,0.0036,7.0
,1.925,1.1471,0.0039,4.0
,1.93,1.1316,0.0029,8.0
,1.935,1.1276,0.0029,7.0
,1.94,1.1304,0.0028,6.0
,1.945,1.1253,0.0029,5.0
,1.95,1.1306,0.0034,4.0
