Group,MIT_Binzel
Source,SMASS.mit.edu
Data_file,a000073.sp26.txt
Asteroid_or_meteorite,asteroid
Number,73
Name,Klytia
Prov_designation,
BDM_class,S
Orbit,MB
Delta_V
Orig_VIS_range,unknown,unknown
Orig_NIR_range,unknown,unknown
Albedo_value
Albedo_uncert
Albedo_reference
Asteroid_diam
Asteroid_diam_uncert
Asteroid_diam_reference
Absolute_magnitude,8.87
Absolute_magnitude_reference,http://hamilton.dm.unipi.it/~astdys2/propsynth/all.syn
Asteroid_semimajor_axis,2.6647173
Asteroid_sin_inclination,0.0447411
Asteroid_eccentricity,0.0398191
Asteroid_NIR_phase_angle
Asteroid_NIR_airmass
Asteroid_solar_distance
Asteroid_geo_distance
Asteroid_NIR_exposure_dur
NIR_telescope,IRTF
NIR_date_observation,15-Oct-9
NIR_UT_time_observation
NIR_stand_star
Asteroid_V_phase_angle
Asteroid_V_airmass
Asteroid_V_exposure_dur
V_telescope
V_date_observation
V_UT_time_observation
V_stand_star
Meteorite_sample_ID,na
Meteorite_gen_type,na
Meteorite_type,na
Meteorite_subtype,na
Meteorite_experimental_cond,na
Meteorite_particulate,na
Meteorite_min_size,na
Meteorite_max_size,na
Meteorite_texture,na
Meteorite_origin,na
Meteorite_lab_source,na
Meteorite_phase_angle,na
Meteorite_incident_angle,na
Meteorite_emission_angle,na
Meteorite_volt,na
Meteorite_date_observation,na
Meteorite_time_observation,na
Meteorite_range,na,na
Normalization,yes
Spliced_by,DeMeo
Column_heading,Wavelength_microns,Reflectance,Uncert,Quality_code
,0.4865,0.902,0.01,1.0
,0.4875,0.913,0.01,1.0
,0.4885,0.916,0.01,1.0
,0.4895,0.917,0.01,1.0
,0.4905,0.906,0.01,1.0
,0.4915,0.907,0.01,1.0
,0.4926,0.932,0.01,1.0
,0.4936,0.932,0.01,1.0
,0.4946,0.946,0.01,1.0
,0.4956,0.926,0.01,1.0
,0.4966,0.936,0.01,1.0
,0.4977,0.943,0.01,1.0
,0.4987,0.955,0.01,1.0
,0.4997,0.945,0.01,1.0
,0.5007,0.948,0.01,1.0
,0.5017,0.956,0.01,1.0
,0.5027,0.963,0.01,1.0
,0.5038,0.942,0.01,1.0
,0.5048,0.96,0.01,1.0
,0.5058,0.963,0.01,1.0
,0.5068,0.955,0.01,1.0
,0.5078,0.961,0.01,1.0
,0.5089,0.963,0.01,1.0
,0.5099,0.957,0.01,1.0
,0.5109,0.972,0.01,1.0
,0.5119,0.965,0.01,1.0
,0.5129,0.97,0.01,1.0
,0.5139,0.986,0.01,1.0
,0.515,0.989,0.01,1.0
,0.516,0.985,0.01,1.0
,0.517,0.993,0.01,1.0
,0.518,0.998,0.01,1.0
,0.519,0.991,0.01,1.0
,0.5201,0.99,0.01,1.0
,0.5211,0.989,0.01,1.0
,0.5221,1.006,0.01,1.0
,0.5231,1.005,0.01,1.0
,0.5241,1.013,0.01,1.0
,0.5251,1.003,0.01,1.0
,0.5262,0.999,0.01,1.0
,0.5272,1.025,0.01,1.0
,0.5282,1.019,0.01,1.0
,0.5292,1.012,0.01,1.0
,0.5302,0.996,0.01,1.0
,0.5313,1.005,0.01,1.0
,0.5323,1.001,0.01,1.0
,0.5333,1.016,0.01,1.0
,0.5343,1.018,0.01,1.0
,0.5353,1.014,0.01,1.0
,0.5363,1.005,0.01,1.0
,0.5374,1.001,0.01,1.0
,0.5384,1.015,0.01,1.0
,0.5394,1.004,0.01,1.0
,0.5404,1.012,0.01,1.0
,0.5414,1.024,0.01,1.0
,0.5425,1.017,0.01,1.0
,0.5435,1.019,0.01,1.0
,0.5445,1.015,0.01,1.0
,0.5455,1.01,0.01,1.0
,0.5465,1.016,0.01,1.0
,0.5475,1.023,0.01,1.0
,0.5486,1.021,0.01,1.0
,0.5496,1.02,0.01,1.0
