Group,MIT_Binzel
Source,SMASS.mit.edu
Data_file,a000093.sp22.txt
Asteroid_or_meteorite,asteroid
Number,93
Name,Minerva
Prov_designation,
BDM_class,C
Orbit,MB
Delta_V
Orig_VIS_range,unknown,unknown
Orig_NIR_range,unknown,unknown
Albedo_value
Albedo_uncert
Albedo_reference
Asteroid_diam
Asteroid_diam_uncert
Asteroid_diam_reference
Absolute_magnitude,7.78
Absolute_magnitude_reference,http://hamilton.dm.unipi.it/~astdys2/propsynth/all.syn
Asteroid_semimajor_axis,2.7546651
Asteroid_sin_inclination,0.1545188
Asteroid_eccentricity,0.1426385
Asteroid_NIR_phase_angle
Asteroid_NIR_airmass
Asteroid_solar_distance
Asteroid_geo_distance
Asteroid_NIR_exposure_dur
NIR_telescope,IRTF
NIR_date_observation,26-Apr-9
NIR_UT_time_observation
NIR_stand_star
Asteroid_V_phase_angle
Asteroid_V_airmass
Asteroid_V_exposure_dur
V_telescope
V_date_observation
V_UT_time_observation
V_stand_star
Meteorite_sample_ID,na
Meteorite_gen_type,na
Meteorite_type,na
Meteorite_subtype,na
Meteorite_experimental_cond,na
Meteorite_particulate,na
Meteorite_min_size,na
Meteorite_max_size,na
Meteorite_texture,na
Meteorite_origin,na
Meteorite_lab_source,na
Meteorite_phase_angle,na
Meteorite_incident_angle,na
Meteorite_emission_angle,na
Meteorite_volt,na
Meteorite_date_observation,na
Meteorite_time_observation,na
Meteorite_range,na,na
Normalization,yes
Spliced_by,DeMeo
Column_heading,Wavelength_microns,Reflectance,Uncert,Quality_code
,0.435,0.9483,0.039,1.0
,0.4375,0.9469,0.0342,1.0
,0.44,0.94,0.0303,1.0
,0.4425,0.9632,0.0268,1.0
,0.445,0.9583,0.0237,1.0
,0.4475,0.9348,0.021,1.0
,0.45,0.9656,0.0189,1.0
,0.4525,0.9652,0.0172,1.0
,0.455,0.962,0.016,1.0
,0.4575,0.9646,0.0148,1.0
,0.46,0.9836,0.0138,1.0
,0.4625,0.964,0.0128,1.0
,0.465,0.9649,0.0119,1.0
,0.4675,0.9832,0.0114,1.0
,0.47,0.9927,0.0109,1.0
,0.4725,0.9765,0.0103,1.0
,0.475,0.9775,0.0119,1.0
,0.4775,0.9856,0.0112,1.0
,0.48,0.9811,0.0106,1.0
,0.4825,0.9709,0.0081,1.0
,0.485,0.9758,0.0077,1.0
,0.4875,0.9896,0.0075,1.0
,0.49,1.0105,0.0077,1.0
,0.4925,0.9694,0.0071,1.0
,0.495,0.9846,0.0067,1.0
,0.4975,0.9774,0.0065,1.0
,0.5,0.9723,0.0061,1.0
,0.5025,0.9865,0.006,1.0
,0.505,0.9969,0.0059,1.0
,0.5075,0.9939,0.0057,1.0
,0.51,0.9793,0.0054,1.0
,0.5125,0.9857,0.0053,1.0
,0.515,0.9955,0.0051,1.0
,0.5175,0.993,0.005,1.0
,0.52,0.9994,0.005,1.0
,0.5225,1.0272,0.0051,1.0
,0.525,0.9802,0.0047,1.0
,0.5275,0.9904,0.0045,1.0
,0.53,1.0014,0.0044,1.0
,0.5325,1.0023,0.0044,1.0
,0.535,0.9834,0.0041,1.0
,0.5375,0.9985,0.004,1.0
,0.54,0.9976,0.004,1.0
,0.5425,0.9945,0.0038,1.0
,0.545,1.0134,0.0039,1.0
,0.5475,1.0059,0.0038,1.0
,0.55,0.9997,0.0037,1.0
,0.5525,1.0034,0.0036,1.0
,0.555,1.0021,0.0035,1.0
,0.5575,1.0032,0.0035,1.0
,0.56,1.0052,0.0034,1.0
,0.5625,1.0137,0.0034,1.0
,0.565,1.0066,0.0034,1.0
,0.5675,1.0006,0.0033,1.0
,0.57,1.0065,0.0032,1.0
,0.5725,1.0104,0.0032,1.0
,0.575,1.0091,0.0032,1.0
,0.5775,0.9983,0.0031,1.0
,0.58,1.0095,0.003,1.0
,0.5825,1.0095,0.003,1.0
,0.585,1.0095,0.003,1.0
,0.5875,1.0014,0.0029,1.0
,0.59,1.0141,0.0029,1.0
,0.5925,1.011,0.0029,1.0
,0.595,1.014,0.0029,1.0
,0.5975,0.9972,0.0028,1.0
,0.6,1.006,0.0028,1.0
,0.6025,1.009,0.0028,1.0
,0.605,1.0107,0.0027,1.0
,0.6075,1.0064,0.0027,1.0
,0.61,1.0094,0.0027,1.0
,0.6125,1.0157,0.0027,1.0
,0.615,1.0093,0.0026,1.0
,0.6175,1.0181,0.0026,1.0
,0.62,1.018,0.0026,1.0
,0.6225,1.0076,0.0026,1.0
,0.625,1.01,0.0026,1.0
,0.6275,1.0146,0.0026,1.0
,0.63,1.0184,0.0026,1.0
,0.6325,1.0136,0.0026,1.0
,0.635,1.0144,0.0025,1.0
,0.6375,1.0213,0.0025,1.0
,0.64,1.0153,0.0025,1.0
,0.6425,1.0192,0.0025,1.0
,0.645,1.025,0.0025,1.0
,0.6475,1.0109,0.0025,1.0
,0.65,1.0227,0.0025,1.0
,0.6525,1.0216,0.0025,1.0
,0.655,1.0062,0.0024,1.0
,0.6575,1.0318,0.0025,1.0
,0.66,1.0244,0.0025,1.0
,0.6625,0.9971,0.0024,1.0
,0.665,1.0181,0.0024,1.0
,0.6675,1.0221,0.0024,1.0
,0.67,1.013,0.0024,1.0
,0.6725,1.0237,0.0024,1.0
,0.675,1.0267,0.0024,1.0
,0.6775,1.0178,0.0024,1.0
,0.68,1.0219,0.0024,1.0
,0.6825,1.0232,0.0024,1.0
,0.685,1.0142,0.0023,1.0
,0.6875,1.0406,0.0024,1.0
,0.69,1.0459,0.0025,1.0
,0.6925,0.9985,0.0025,1.0
,0.695,1.0027,0.0024,1.0
,0.6975,1.0202,0.0024,1.0
,0.7,1.0218,0.0024,1.0
,0.7025,1.0282,0.0024,1.0
,0.705,1.0224,0.0024,1.0
,0.7075,1.0235,0.0024,1.0
,0.71,1.0211,0.0024,1.0
,0.7125,1.0229,0.0024,1.0
,0.715,1.0297,0.0024,1.0
,0.7175,1.0374,0.0025,1.0
,0.72,1.039,0.0026,1.0
,0.7225,0.9932,0.0025,1.0
,0.725,1.0168,0.0026,1.0
,0.7275,1.0076,0.0026,1.0
,0.73,1.013,0.0026,1.0
,0.7325,1.0061,0.0026,1.0
,0.735,1.0107,0.0025,1.0
,0.7375,1.0203,0.0026,1.0
,0.74,1.0218,0.0026,1.0
,0.7425,1.0274,0.0026,1.0
,0.745,1.0233,0.0026,1.0
,0.7475,1.0264,0.0026,1.0
,0.75,1.0239,0.0026,1.0
,0.7525,1.023,0.0026,1.0
,0.755,1.0235,0.0026,1.0
,0.7725,1.0221,0.0027,1.0
,0.775,1.0275,0.0027,1.0
,0.7775,1.0281,0.0028,1.0
,0.78,1.0236,0.0028,1.0
,0.7825,1.0253,0.0028,1.0
,0.785,1.0243,0.0028,1.0
,0.7875,1.0249,0.0029,1.0
,0.79,1.0301,0.0029,1.0
,0.7925,1.0241,0.0029,1.0
,0.795,1.0198,0.0029,1.0
,0.7975,1.0243,0.003,1.0
,0.8,1.0318,0.003,1.0
,0.8025,1.0236,0.003,1.0
,0.805,1.0254,0.0031,1.0
,0.8075,1.028,0.0031,1.0
,0.81,1.0347,0.0032,1.0
,0.8125,1.0429,0.0033,1.0
,0.815,1.0273,0.0034,1.0
,0.8175,1.0057,0.0034,1.0
,0.82,1.0382,0.0023,2.0
,0.825,1.0408,0.0026,3.0
,0.83,1.037,0.0025,3.0
,0.835,1.0313,0.0025,3.0
,0.84,1.0325,0.0023,3.0
,0.845,1.0311,0.0023,3.0
,0.85,1.0317,0.0023,3.0
,0.855,1.0292,0.0023,3.0
,0.86,1.0279,0.0022,3.0
,0.865,1.0332,0.0024,2.0
,0.87,1.0303,0.0025,3.0
,0.875,1.0272,0.0023,3.0
,0.88,1.0236,0.0026,3.0
,0.885,1.023,0.0025,3.0
,0.89,1.021,0.0027,3.0
,0.895,1.0218,0.0021,3.0
,0.9,1.0195,0.0021,3.0
,0.905,1.0149,0.002,3.0
,0.91,1.0136,0.002,3.0
,0.915,1.0028,0.002,2.0
,0.92,1.0057,0.002,3.0
,0.925,1.0029,0.0023,2.0
,0.93,1.0095,0.0022,3.0
,0.935,1.0059,0.0022,3.0
,0.94,0.9993,0.0023,2.0
,0.945,1.0018,0.0021,3.0
,0.95,1.0057,0.002,3.0
,0.955,1.0,0.002,3.0
,0.96,0.9958,0.0022,3.0
,0.965,0.9957,0.0019,3.0
,0.97,0.995,0.0017,3.0
,0.975,0.9946,0.0016,3.0
,0.98,0.9954,0.0017,3.0
,0.985,0.9955,0.0017,3.0
,0.99,0.993,0.0017,3.0
,0.995,0.9947,0.0017,3.0
,1.0,0.9939,0.0018,3.0
,1.005,0.9943,0.0016,3.0
,1.01,0.9929,0.0018,3.0
,1.015,0.993,0.0016,3.0
,1.02,0.9893,0.0016,3.0
,1.025,0.9899,0.0016,3.0
,1.03,0.9879,0.0016,3.0
,1.035,0.9867,0.0015,3.0
,1.04,0.9849,0.0016,3.0
,1.045,0.9839,0.0015,3.0
,1.05,0.982,0.0016,3.0
,1.055,0.9819,0.0017,3.0
,1.06,0.9827,0.0016,3.0
,1.065,0.9819,0.0015,3.0
,1.07,0.9818,0.0015,3.0
,1.075,0.9827,0.0016,3.0
,1.08,0.9786,0.0015,3.0
,1.085,0.9778,0.0015,3.0
,1.09,0.9786,0.0015,3.0
,1.095,0.9798,0.0014,3.0
,1.1,0.9798,0.0015,3.0
,1.105,0.975,0.0016,3.0
,1.11,0.9787,0.0024,3.0
,1.115,0.9813,0.0025,3.0
,1.12,0.9791,0.0025,3.0
,1.125,0.9702,0.0023,3.0
,1.13,0.9736,0.0021,3.0
,1.135,0.9727,0.0019,3.0
,1.14,0.9716,0.0019,3.0
,1.145,0.975,0.0018,3.0
,1.15,0.9758,0.002,3.0
,1.155,0.9688,0.0019,3.0
,1.16,0.9758,0.0022,1.0
,1.165,0.9608,0.0018,2.0
,1.17,0.9698,0.0016,3.0
,1.175,0.9735,0.0016,3.0
,1.18,0.976,0.0015,3.0
