Group,MIT_Binzel
Source,SMASS.mit.edu
Data_file,a000160.sp23.txt
Asteroid_or_meteorite,asteroid
Number,160
Name,Una
Prov_designation,
BDM_class,Xk
Orbit,MB
Delta_V
Orig_VIS_range,unknown,unknown
Orig_NIR_range,unknown,unknown
Albedo_value
Albedo_uncert
Albedo_reference
Asteroid_diam
Asteroid_diam_uncert
Asteroid_diam_reference
Absolute_magnitude,9.07
Absolute_magnitude_reference,http://hamilton.dm.unipi.it/~astdys2/propsynth/all.syn
Asteroid_semimajor_axis,2.7276861
Asteroid_sin_inclination,0.0701663
Asteroid_eccentricity,0.055641
Asteroid_NIR_phase_angle
Asteroid_NIR_airmass
Asteroid_solar_distance
Asteroid_geo_distance
Asteroid_NIR_exposure_dur
NIR_telescope,IRTF
NIR_date_observation,4-Jul-9
NIR_UT_time_observation
NIR_stand_star
Asteroid_V_phase_angle
Asteroid_V_airmass
Asteroid_V_exposure_dur
V_telescope
V_date_observation
V_UT_time_observation
V_stand_star
Meteorite_sample_ID,na
Meteorite_gen_type,na
Meteorite_type,na
Meteorite_subtype,na
Meteorite_experimental_cond,na
Meteorite_particulate,na
Meteorite_min_size,na
Meteorite_max_size,na
Meteorite_texture,na
Meteorite_origin,na
Meteorite_lab_source,na
Meteorite_phase_angle,na
Meteorite_incident_angle,na
Meteorite_emission_angle,na
Meteorite_volt,na
Meteorite_date_observation,na
Meteorite_time_observation,na
Meteorite_range,na,na
Normalization,yes
Spliced_by,DeMeo
Column_heading,Wavelength_microns,Reflectance,Uncert,Quality_code
,0.435,0.9477,0.0209,1.0
,0.4375,0.9538,0.019,1.0
,0.44,0.9405,0.0169,1.0
,0.4425,0.9318,0.0155,1.0
,0.445,0.9599,0.0144,1.0
,0.4475,0.9607,0.0131,1.0
,0.45,0.9554,0.0123,1.0
,0.4525,0.9525,0.0116,1.0
,0.455,0.9609,0.0108,1.0
,0.4575,0.9642,0.0101,1.0
,0.46,0.9583,0.0095,1.0
,0.4625,0.9502,0.009,1.0
,0.465,0.9549,0.0087,1.0
,0.4675,0.9618,0.0083,1.0
,0.47,0.9764,0.0079,1.0
,0.4725,0.9646,0.0074,1.0
,0.475,0.9693,0.007,1.0
,0.4775,0.9667,0.0066,1.0
,0.48,0.967,0.0063,1.0
,0.4825,0.9492,0.006,1.0
,0.485,0.9574,0.0061,1.0
,0.4875,0.9906,0.0061,1.0
,0.49,0.9745,0.0056,1.0
,0.4925,0.985,0.0054,1.0
,0.495,0.9804,0.0051,1.0
,0.4975,0.971,0.0049,1.0
,0.5,0.9825,0.0049,1.0
,0.5025,0.9909,0.0048,1.0
,0.505,0.9883,0.0046,1.0
,0.5075,0.9854,0.0044,1.0
,0.51,0.9842,0.0043,1.0
,0.5125,0.9825,0.0042,1.0
,0.515,0.976,0.0041,1.0
,0.5175,0.9945,0.0042,1.0
,0.52,1.02,0.0041,1.0
,0.5225,1.0001,0.0038,1.0
,0.525,0.9967,0.0037,1.0
,0.5275,1.0056,0.0037,1.0
,0.53,1.0064,0.0043,1.0
,0.5325,0.9941,0.0041,1.0
,0.535,1.0027,0.004,1.0
,0.5375,0.9928,0.0039,1.0
,0.54,0.9897,0.0032,1.0
,0.5425,1.0056,0.0032,1.0
,0.545,1.0035,0.0031,1.0
,0.5475,1.0005,0.003,1.0
,0.55,1.0036,0.003,1.0
,0.5525,1.0018,0.0029,1.0
,0.555,0.9958,0.0029,1.0
,0.5575,0.9935,0.0028,1.0
,0.56,1.0049,0.0028,1.0
,0.5625,1.0086,0.0028,1.0
,0.565,1.0035,0.0027,1.0
,0.5675,1.007,0.0027,1.0
,0.57,1.0059,0.0026,1.0
,0.5725,1.0059,0.0026,1.0
,0.575,0.9988,0.0025,1.0
,0.5775,1.0018,0.0025,1.0
,0.58,1.0034,0.0025,1.0
,0.5825,1.0082,0.0024,1.0
