Group,MIT_Binzel
Source,SMASS.mit.edu
Data_file,a000188.sp12.txt
Asteroid_or_meteorite,asteroid
Number,188
Name,Menippe
Prov_designation,
BDM_class,S
Orbit,MB
Delta_V
Orig_VIS_range,unknown,unknown
Orig_NIR_range,unknown,unknown
Albedo_value
Albedo_uncert
Albedo_reference
Asteroid_diam
Asteroid_diam_uncert
Asteroid_diam_reference
Absolute_magnitude,9.18
Absolute_magnitude_reference,http://hamilton.dm.unipi.it/~astdys2/propsynth/all.syn
Asteroid_semimajor_axis,2.7618355
Asteroid_sin_inclination,0.2224577
Asteroid_eccentricity,0.1499093
Asteroid_NIR_phase_angle
Asteroid_NIR_airmass
Asteroid_solar_distance
Asteroid_geo_distance
Asteroid_NIR_exposure_dur
NIR_telescope,IRTF
NIR_date_observation,14-Apr-9
NIR_UT_time_observation
NIR_stand_star
Asteroid_V_phase_angle
Asteroid_V_airmass
Asteroid_V_exposure_dur
V_telescope
V_date_observation
V_UT_time_observation
V_stand_star
Meteorite_sample_ID,na
Meteorite_gen_type,na
Meteorite_type,na
Meteorite_subtype,na
Meteorite_experimental_cond,na
Meteorite_particulate,na
Meteorite_min_size,na
Meteorite_max_size,na
Meteorite_texture,na
Meteorite_origin,na
Meteorite_lab_source,na
Meteorite_phase_angle,na
Meteorite_incident_angle,na
Meteorite_emission_angle,na
Meteorite_volt,na
Meteorite_date_observation,na
Meteorite_time_observation,na
Meteorite_range,na,na
Normalization,yes
Spliced_by,DeMeo
Column_heading,Wavelength_microns,Reflectance,Uncert,Quality_code
,0.435,0.7965,0.0262,1.0
,0.4375,0.7952,0.0236,1.0
,0.44,0.8303,0.0218,1.0
,0.4425,0.8,0.0191,1.0
,0.445,0.7807,0.0169,1.0
,0.4475,0.8117,0.0155,1.0
,0.45,0.8504,0.0142,1.0
,0.4525,0.8223,0.0129,1.0
,0.455,0.831,0.0121,1.0
,0.4575,0.8114,0.0111,1.0
,0.46,0.8354,0.0104,1.0
,0.4625,0.8549,0.0098,1.0
,0.465,0.8472,0.0115,1.0
,0.4675,0.852,0.0109,1.0
,0.47,0.8682,0.0083,1.0
,0.4725,0.8654,0.0079,1.0
,0.475,0.87,0.0074,1.0
,0.4775,0.8705,0.007,1.0
,0.48,0.8673,0.0066,1.0
,0.4825,0.8813,0.0063,1.0
,0.485,0.8898,0.0061,1.0
,0.4875,0.8828,0.006,1.0
,0.49,0.8854,0.0059,1.0
,0.4925,0.89,0.0055,1.0
,0.495,0.9112,0.0053,1.0
,0.4975,0.9122,0.0051,1.0
,0.5,0.9073,0.0049,1.0
,0.5025,0.9194,0.0048,1.0
,0.505,0.9325,0.0047,1.0
,0.5075,0.9219,0.0045,1.0
,0.51,0.9393,0.0044,1.0
,0.5125,0.9405,0.0042,1.0
,0.515,0.9389,0.0041,1.0
,0.5175,0.9487,0.0041,1.0
,0.52,0.9609,0.0041,1.0
,0.5225,0.975,0.0041,1.0
,0.525,0.9629,0.0038,1.0
,0.5275,0.97,0.0037,1.0
,0.53,0.9791,0.0036,1.0
,0.5325,0.9817,0.0035,1.0
,0.535,0.9736,0.0034,1.0
,0.5375,0.9877,0.0033,1.0
,0.54,0.9862,0.0032,1.0
,0.5425,0.9833,0.0032,1.0
,0.545,0.9965,0.0032,1.0
,0.5475,1.0027,0.0031,1.0
,0.55,0.994,0.003,1.0
,0.5525,1.0042,0.003,1.0
,0.555,1.0103,0.0029,1.0
,0.5575,1.0197,0.0029,1.0
,0.56,1.0191,0.0029,1.0
,0.5625,1.0239,0.0029,1.0
,0.565,1.0299,0.0028,1.0
,0.5675,1.0287,0.0027,1.0
,0.57,1.0288,0.0027,1.0
,0.5725,1.0386,0.0027,1.0
,0.575,1.04,0.0026,1.0
,0.5775,1.0345,0.0026,1.0
,0.58,1.035,0.0025,1.0
,0.5825,1.044,0.0025,1.0
,0.585,1.0447,0.0025,1.0
,0.5875,1.0485,0.0024,1.0
,0.59,1.0469,0.0024,1.0
,0.5925,1.0548,0.0024,1.0
,0.595,1.0642,0.0024,1.0
,0.5975,1.0572,0.0024,1.0
,0.6,1.0584,0.0023,1.0
,0.6025,1.0629,0.0023,1.0
,0.605,1.0741,0.0023,1.0
,0.6075,1.0722,0.0023,1.0
,0.61,1.0784,0.0022,1.0
,0.6125,1.0793,0.0022,1.0
,0.615,1.0882,0.0022,1.0
,0.6175,1.0877,0.0022,1.0
,0.62,1.0972,0.0022,1.0
,0.6225,1.0951,0.0022,1.0
,0.625,1.0942,0.0022,1.0
,0.6275,1.1008,0.0022,1.0
,0.63,1.1017,0.0022,1.0
,0.6325,1.1025,0.0022,1.0
,0.635,1.11,0.0022,1.0
,0.6375,1.1143,0.0022,1.0
,0.64,1.1224,0.0022,1.0
,0.6425,1.1208,0.0021,1.0
,0.645,1.1291,0.0021,1.0
,0.6475,1.1354,0.0021,1.0
,0.65,1.1313,0.0021,1.0
,0.6525,1.1345,0.0021,1.0
,0.655,1.1312,0.0021,1.0
,0.6575,1.1359,0.0021,1.0
,0.66,1.146,0.0022,1.0
,0.6625,1.1472,0.0021,1.0
,0.665,1.146,0.0021,1.0
,0.6675,1.1524,0.0021,1.0
,0.67,1.1546,0.002,1.0
,0.6725,1.1593,0.002,1.0
,0.675,1.1646,0.002,1.0
,0.6775,1.1686,0.002,1.0
,0.68,1.1696,0.002,1.0
,0.6825,1.1688,0.002,1.0
,0.685,1.1696,0.002,1.0
,0.6875,1.1718,0.0021,1.0
,0.69,1.1715,0.0021,1.0
,0.6925,1.1711,0.0021,1.0
,0.695,1.1742,0.0021,1.0
,0.6975,1.1737,0.0021,1.0
,0.7,1.1766,0.0021,1.0
,0.7025,1.1875,0.0021,1.0
,0.705,1.1922,0.0021,1.0
,0.7075,1.1938,0.0021,1.0
,0.71,1.1929,0.0021,1.0
,0.7125,1.1934,0.0021,1.0
,0.715,1.199,0.0021,1.0
,0.7175,1.1979,0.0021,1.0
,0.72,1.1983,0.0022,1.0
,0.7225,1.1981,0.0023,1.0
,0.725,1.196,0.0023,1.0
,0.7275,1.1825,0.0023,1.0
,0.73,1.1928,0.0023,1.0
,0.7325,1.197,0.0023,1.0
,0.735,1.2028,0.0023,1.0
,0.7375,1.2097,0.0023,1.0
,0.74,1.2097,0.0023,1.0
,0.7425,1.2135,0.0023,1.0
,0.745,1.2123,0.0023,1.0
,0.7475,1.2155,0.0023,1.0
,0.75,1.2157,0.0023,1.0
,0.7525,1.2127,0.0023,1.0
,0.755,1.2143,0.0023,1.0
,0.7575,1.2077,0.0023,1.0
,0.76,1.216,0.0031,1.0
,0.7675,1.1848,0.0044,1.0
,0.77,1.1901,0.0041,1.0
,0.7725,1.1933,0.0026,1.0
,0.775,1.1913,0.0024,1.0
,0.7775,1.1907,0.0024,1.0
,0.78,1.1945,0.0024,1.0
,0.7825,1.1847,0.0024,1.0
,0.785,1.1895,0.0025,1.0
,0.7875,1.1875,0.0025,1.0
,0.79,1.1793,0.0025,1.0
,0.7925,1.1753,0.0025,1.0
,0.795,1.1865,0.0026,1.0
,0.7975,1.1755,0.0026,1.0
,0.8,1.1668,0.0026,1.0
,0.8025,1.166,0.0026,1.0
,0.805,1.167,0.0026,1.0
,0.8075,1.1649,0.0026,1.0
,0.81,1.1644,0.0026,1.0
,0.8125,1.1593,0.0027,1.0
,0.815,1.1481,0.0027,1.0
,0.8175,1.1376,0.0028,1.0
,0.82,1.1393,0.0028,1.0
,0.8225,1.1382,0.0029,1.0
,0.825,1.1283,0.0028,1.0
,0.8275,1.136,0.0029,1.0
,0.83,1.1374,0.0029,1.0
,0.8325,1.1399,0.003,1.0
,0.835,1.1155,0.0036,3.0
,0.84,1.1273,0.0039,5.0
,0.845,1.1288,0.0038,5.0
,0.85,1.1178,0.0039,5.0
,0.855,1.1148,0.0039,5.0
,0.86,1.094,0.0037,4.0
,0.865,1.1045,0.0039,5.0
,0.87,1.1027,0.0039,5.0
,0.875,1.0938,0.0038,5.0
,0.88,1.0937,0.0037,5.0
,0.885,1.0925,0.0035,5.0
,0.89,1.0842,0.0034,5.0
,0.895,1.0905,0.0034,5.0
,0.9,1.0925,0.0034,5.0
,0.905,1.0909,0.0033,5.0
,0.91,1.0965,0.0033,5.0
,0.915,1.0931,0.0032,5.0
,0.92,1.095,0.0033,5.0
,0.925,1.094,0.0032,5.0
,0.93,1.0922,0.0033,5.0
,0.935,1.0981,0.0033,5.0
,0.94,1.0999,0.0034,5.0
,0.945,1.0983,0.0035,5.0
,0.95,1.1096,0.0034,5.0
,0.955,1.1143,0.003,5.0
,0.96,1.1223,0.003,5.0
,0.965,1.1268,0.003,5.0
,0.97,1.1306,0.003,5.0
,0.975,1.1349,0.0032,5.0
,0.98,1.1454,0.0029,5.0
,0.985,1.1445,0.0029,5.0
,0.99,1.1569,0.0032,5.0
,0.995,1.1634,0.003,5.0
,1.0,1.166,0.003,5.0
,1.005,1.1693,0.003,5.0
,1.01,1.1732,0.003,5.0
,1.015,1.1766,0.003,5.0
,1.02,1.186,0.003,5.0
,1.025,1.188,0.0028,5.0
,1.03,1.178,0.0037,5.0
,1.035,1.1857,0.0032,5.0
,1.04,1.2002,0.0029,5.0
,1.045,1.2026,0.0029,5.0
,1.05,1.1987,0.0028,5.0
,1.055,1.2102,0.0029,5.0
,1.06,1.2057,0.0029,5.0
,1.065,1.2088,0.003,5.0
,1.07,1.221,0.0028,5.0
,1.075,1.2255,0.0029,5.0
,1.08,1.2216,0.0029,5.0
,1.085,1.2311,0.0028,5.0
,1.09,1.2342,0.0029,5.0
,1.095,1.2393,0.0029,5.0
,1.1,1.2354,0.0031,5.0
,1.105,1.2499,0.0027,5.0
,1.11,1.2448,0.003,5.0
,1.115,1.2473,0.0032,5.0
,1.12,1.261,0.0032,5.0
,1.125,1.2617,0.0034,5.0
,1.13,1.263,0.003,5.0
,1.135,1.2606,0.003,5.0
,1.14,1.2655,0.0031,5.0
,1.145,1.2671,0.003,5.0
,1.15,1.2715,0.0028,5.0
,1.155,1.2826,0.003,5.0
,1.16,1.2859,0.0029,5.0
,1.165,1.2944,0.0027,5.0
,1.17,1.2976,0.0027,5.0
,1.175,1.3036,0.0028,5.0
,1.18,1.3079,0.0027,5.0
,1.185,1.3103,0.0026,5.0
,1.19,1.3091,0.0026,5.0
,1.195,1.3064,0.0027,5.0
,1.2,1.3086,0.0026,5.0
,1.205,1.312,0.0028,5.0
,1.21,1.3208,0.0028,5.0
,1.215,1.3184,0.0027,5.0
,1.22,1.3192,0.0028,5.0
,1.225,1.3231,0.0028,5.0
,1.23,1.3276,0.0027,5.0
,1.235,1.3279,0.0027,5.0
,1.24,1.334,0.0028,5.0
,1.245,1.3375,0.0028,5.0
,1.25,1.3387,0.0027,5.0
,1.255,1.3376,0.0028,5.0
,1.26,1.3325,0.0028,5.0
,1.265,1.3373,0.0028,5.0
