Group,MIT_Binzel
Source,SMASS.mit.edu
Data_file,a000221.sp02.txt
Asteroid_or_meteorite,asteroid
Number,221
Name,Eos
Prov_designation,
BDM_class,K
Orbit,MB
Delta_V
Orig_VIS_range,unknown,unknown
Orig_NIR_range,unknown,unknown
Albedo_value
Albedo_uncert
Albedo_reference
Asteroid_diam
Asteroid_diam_uncert
Asteroid_diam_reference
Absolute_magnitude,7.75
Absolute_magnitude_reference,http://hamilton.dm.unipi.it/~astdys2/propsynth/all.syn
Asteroid_semimajor_axis,3.0123876
Asteroid_sin_inclination,0.1712299
Asteroid_eccentricity,0.0726107
Asteroid_NIR_phase_angle
Asteroid_NIR_airmass
Asteroid_solar_distance
Asteroid_geo_distance
Asteroid_NIR_exposure_dur
NIR_telescope,IRTF
NIR_date_observation,7-Oct-9
NIR_UT_time_observation
NIR_stand_star
Asteroid_V_phase_angle
Asteroid_V_airmass
Asteroid_V_exposure_dur
V_telescope
V_date_observation
V_UT_time_observation
V_stand_star
Meteorite_sample_ID,na
Meteorite_gen_type,na
Meteorite_type,na
Meteorite_subtype,na
Meteorite_experimental_cond,na
Meteorite_particulate,na
Meteorite_min_size,na
Meteorite_max_size,na
Meteorite_texture,na
Meteorite_origin,na
Meteorite_lab_source,na
Meteorite_phase_angle,na
Meteorite_incident_angle,na
Meteorite_emission_angle,na
Meteorite_volt,na
Meteorite_date_observation,na
Meteorite_time_observation,na
Meteorite_range,na,na
Normalization,yes
Spliced_by,DeMeo
Column_heading,Wavelength_microns,Reflectance,Uncert,Quality_code
,0.435,0.8694,0.0277,1.0
,0.4375,0.9118,0.0256,1.0
,0.44,0.9098,0.0233,1.0
,0.4425,0.8829,0.02,1.0
,0.445,0.9185,0.0185,1.0
,0.4475,0.9273,0.0169,1.0
,0.45,0.9084,0.015,1.0
,0.4525,0.8998,0.0136,1.0
,0.455,0.8918,0.0126,1.0
,0.4575,0.9079,0.0118,1.0
,0.46,0.9102,0.011,1.0
,0.4625,0.9116,0.0102,1.0
,0.465,0.9274,0.0097,1.0
,0.4675,0.9421,0.0093,1.0
,0.47,0.9381,0.0088,1.0
,0.4725,0.9135,0.0082,1.0
,0.475,0.9302,0.0078,1.0
,0.4775,0.9326,0.0073,1.0
,0.48,0.9391,0.007,1.0
,0.4825,0.9366,0.0066,1.0
,0.485,0.9455,0.0064,1.0
,0.4875,0.9489,0.0063,1.0
,0.49,0.9473,0.0062,1.0
,0.4925,0.9413,0.0058,1.0
,0.495,0.9395,0.0055,1.0
,0.4975,0.9505,0.0053,1.0
,0.5,0.9478,0.0051,1.0
,0.5025,0.9625,0.005,1.0
,0.505,0.9659,0.0049,1.0
,0.5075,0.9665,0.0047,1.0
,0.51,0.9615,0.0045,1.0
,0.5125,0.968,0.0044,1.0
,0.515,0.9727,0.0043,1.0
,0.5175,0.9761,0.0043,1.0
,0.52,0.9861,0.0043,1.0
,0.5225,0.9778,0.0041,1.0
,0.525,0.9757,0.0055,1.0
,0.5275,0.9697,0.0053,1.0
,0.53,0.972,0.0052,1.0
,0.5325,0.9575,0.005,1.0
,0.535,0.9754,0.0049,1.0
,0.5375,0.9772,0.0048,1.0
,0.54,0.9802,0.0034,1.0
,0.5425,0.9954,0.0033,1.0
,0.545,0.9999,0.0033,1.0
,0.5475,1.0015,0.0032,1.0
,0.55,1.0021,0.0031,1.0
,0.5525,1.0005,0.0031,1.0
,0.555,1.0093,0.003,1.0
,0.5575,1.0113,0.003,1.0
,0.56,1.0099,0.003,1.0
,0.5625,1.0111,0.0029,1.0
,0.565,1.011,0.0029,1.0
,0.5675,1.0211,0.0028,1.0
,0.57,1.0218,0.0028,1.0
,0.5725,1.025,0.0028,1.0
,0.575,1.022,0.0027,1.0
,0.5775,1.0215,0.0027,1.0
,0.58,1.0218,0.0026,1.0
,0.5825,1.0259,0.0026,1.0
,0.585,1.0242,0.0026,1.0
,0.5875,1.0304,0.0025,1.0
,0.59,1.0355,0.0025,1.0
,0.5925,1.0362,0.0025,1.0
,0.595,1.0286,0.0025,1.0
,0.5975,1.0318,0.0024,1.0
,0.6,1.0404,0.0024,1.0
,0.6025,1.0416,0.0024,1.0
,0.605,1.0416,0.0024,1.0
,0.6075,1.0453,0.0024,1.0
,0.61,1.0488,0.0023,1.0
,0.6125,1.0529,0.0023,1.0
,0.615,1.0529,0.0023,1.0
,0.6175,1.0551,0.0023,1.0
,0.62,1.0553,0.0023,1.0
,0.6225,1.052,0.0023,1.0
,0.625,1.0574,0.0023,1.0
,0.6275,1.0625,0.0023,1.0
,0.63,1.056,0.0023,1.0
,0.6325,1.0662,0.0023,1.0
,0.635,1.0595,0.0022,1.0
,0.6375,1.0655,0.0022,1.0
,0.64,1.0667,0.0022,1.0
,0.6425,1.0713,0.0022,1.0
,0.645,1.0758,0.0022,1.0
,0.6475,1.0726,0.0022,1.0
,0.65,1.0761,0.0022,1.0
,0.6525,1.078,0.0022,1.0
,0.655,1.077,0.0022,1.0
,0.6575,1.0943,0.0022,1.0
,0.66,1.0845,0.0022,1.0
,0.6625,1.0774,0.0021,1.0
,0.665,1.0868,0.0021,1.0
,0.6675,1.0876,0.0021,1.0
,0.67,1.0888,0.0021,1.0
,0.6725,1.091,0.0021,1.0
,0.675,1.0931,0.0021,1.0
,0.6775,1.0936,0.0021,1.0
,0.68,1.096,0.0021,1.0
,0.6825,1.0999,0.0021,1.0
,0.685,1.0984,0.0021,1.0
,0.6875,1.1082,0.0022,1.0
,0.69,1.0987,0.0022,1.0
,0.6975,1.0974,0.0021,1.0
,0.7,1.1023,0.0021,1.0
,0.7025,1.1073,0.0021,1.0
,0.705,1.107,0.0021,1.0
,0.7075,1.1081,0.0021,1.0
,0.71,1.1093,0.0021,1.0
,0.7125,1.1118,0.0022,1.0
,0.715,1.1148,0.0022,1.0
,0.7175,1.1119,0.0022,1.0
,0.72,1.1093,0.0022,1.0
,0.7225,1.0996,0.0022,1.0
,0.725,1.1002,0.0022,1.0
,0.7275,1.1024,0.0022,1.0
,0.73,1.1016,0.0023,1.0
,0.7325,1.1077,0.0023,1.0
,0.735,1.1142,0.0023,1.0
,0.7375,1.1145,0.0023,1.0
,0.74,1.1189,0.0023,1.0
,0.7425,1.1221,0.0023,1.0
,0.745,1.1207,0.0023,1.0
,0.7475,1.116,0.0023,1.0
,0.75,1.1157,0.0023,1.0
,0.7525,1.1179,0.0023,1.0
,0.755,1.1167,0.0024,1.0
,0.7575,1.1169,0.0024,1.0
,0.775,1.1047,0.0024,1.0
,0.7775,1.1024,0.0024,1.0
,0.78,1.101,0.0025,1.0
,0.7825,1.1021,0.0025,1.0
,0.785,1.1093,0.0025,1.0
,0.7875,1.1026,0.0025,1.0
,0.79,1.102,0.0025,1.0
,0.7925,1.1006,0.0025,1.0
,0.795,1.1031,0.0026,1.0
,0.7975,1.0941,0.0026,1.0
,0.8,1.098,0.0026,1.0
,0.8025,1.0949,0.0026,1.0
,0.805,1.0969,0.0026,1.0
,0.8075,1.0976,0.0026,1.0
,0.81,1.0984,0.0027,1.0
,0.8125,1.0916,0.0027,1.0
,0.815,1.0871,0.0027,1.0
,0.8175,1.0746,0.0027,1.0
,0.82,1.0625,0.004,1.0
,0.825,1.072,0.004,1.0
,0.83,1.0799,0.004,1.0
,0.835,1.0704,0.004,1.0
,0.84,1.0669,0.004,1.0
,0.845,1.0767,0.004,1.0
,0.85,1.0733,0.004,1.0
,0.855,1.0814,0.004,1.0
,0.86,1.0737,0.004,1.0
,0.865,1.0614,0.004,1.0
,0.87,1.0635,0.004,1.0
,0.875,1.0572,0.004,1.0
,0.88,1.0594,0.003,1.0
,0.885,1.0571,0.004,1.0
,0.89,1.0528,0.004,1.0
,0.895,1.063,0.003,1.0
,0.9,1.0625,0.003,1.0
,0.905,1.0586,0.003,1.0
,0.91,1.0548,0.003,1.0
,0.915,1.0613,0.003,1.0
,0.92,1.0577,0.003,1.0
,0.925,1.0589,0.003,1.0
,0.93,1.0547,0.003,1.0
,0.935,1.0552,0.003,1.0
,0.94,1.0425,0.003,1.0
,0.945,1.0479,0.004,1.0
,0.95,1.0426,0.003,1.0
,0.955,1.0366,0.003,1.0
,0.96,1.0375,0.003,1.0
,0.965,1.0434,0.003,1.0
,0.97,1.0309,0.003,1.0
,0.975,1.034,0.003,1.0
,0.98,1.0343,0.003,1.0
,0.985,1.0313,0.003,1.0
,0.99,1.0277,0.003,1.0
,0.995,1.0291,0.003,1.0
,1.0,1.0227,0.003,1.0
,1.005,1.0265,0.003,1.0
,1.01,1.0176,0.003,1.0
,1.015,1.0144,0.003,1.0
,1.02,1.0156,0.003,1.0
,1.025,1.0155,0.003,1.0
,1.03,1.0121,0.003,1.0
,1.035,1.016,0.003,1.0
,1.04,1.0055,0.003,1.0
,1.045,1.0113,0.003,1.0
