Group,MIT_Binzel
Source,SMASS.mit.edu
Data_file,a000599.sp04.txt
Asteroid_or_meteorite,asteroid
Number,599
Name,Luisa
Prov_designation,
BDM_class,L
Orbit,MB
Delta_V
Orig_VIS_range,unknown,unknown
Orig_NIR_range,unknown,unknown
Albedo_value
Albedo_uncert
Albedo_reference
Asteroid_diam
Asteroid_diam_uncert
Asteroid_diam_reference
Absolute_magnitude,8.84
Absolute_magnitude_reference,http://hamilton.dm.unipi.it/~astdys2/propsynth/all.syn
Asteroid_semimajor_axis,2.7724132
Asteroid_sin_inclination,0.2886701
Asteroid_eccentricity,0.2342718
Asteroid_NIR_phase_angle
Asteroid_NIR_airmass
Asteroid_solar_distance
Asteroid_geo_distance
Asteroid_NIR_exposure_dur
NIR_telescope,IRTF
NIR_date_observation,18-Feb-9
NIR_UT_time_observation
NIR_stand_star
Asteroid_V_phase_angle
Asteroid_V_airmass
Asteroid_V_exposure_dur
V_telescope
V_date_observation
V_UT_time_observation
V_stand_star
Meteorite_sample_ID,na
Meteorite_gen_type,na
Meteorite_type,na
Meteorite_subtype,na
Meteorite_experimental_cond,na
Meteorite_particulate,na
Meteorite_min_size,na
Meteorite_max_size,na
Meteorite_texture,na
Meteorite_origin,na
Meteorite_lab_source,na
Meteorite_phase_angle,na
Meteorite_incident_angle,na
Meteorite_emission_angle,na
Meteorite_volt,na
Meteorite_date_observation,na
Meteorite_time_observation,na
Meteorite_range,na,na
Normalization,yes
Spliced_by,DeMeo
Column_heading,Wavelength_microns,Reflectance,Uncert,Quality_code
,0.435,0.8506,0.0275,1.0
,0.4375,0.8924,0.025,1.0
,0.44,0.9328,0.0226,1.0
,0.4425,0.9242,0.0199,1.0
,0.445,0.8829,0.0172,1.0
,0.4475,0.8994,0.0156,1.0
,0.45,0.9027,0.014,1.0
,0.4525,0.8908,0.0127,1.0
,0.455,0.888,0.0117,1.0
,0.4575,0.8983,0.0109,1.0
,0.46,0.9128,0.0102,1.0
,0.4625,0.9109,0.0094,1.0
,0.465,0.9171,0.0089,1.0
,0.4675,0.9032,0.0084,1.0
,0.47,0.8993,0.0079,1.0
,0.4725,0.9148,0.0076,1.0
,0.475,0.924,0.0071,1.0
,0.4775,0.9195,0.0067,1.0
,0.48,0.9276,0.0064,1.0
,0.4825,0.9197,0.006,1.0
,0.485,0.9291,0.0058,1.0
,0.4875,0.9288,0.0057,1.0
,0.49,0.9424,0.0057,1.0
,0.4925,0.9558,0.0055,1.0
,0.495,0.9419,0.0051,1.0
,0.4975,0.9393,0.0049,1.0
,0.5,0.9417,0.0047,1.0
,0.5025,0.944,0.0046,1.0
,0.505,0.9525,0.0046,1.0
,0.5075,0.9531,0.0044,1.0
,0.51,0.9598,0.0042,1.0
,0.5125,0.9605,0.0041,1.0
,0.515,0.9672,0.004,1.0
,0.5175,0.9624,0.0039,1.0
,0.52,0.962,0.0039,1.0
,0.5225,0.9784,0.004,1.0
,0.525,0.9851,0.0038,1.0
,0.5275,0.9788,0.0036,1.0
,0.53,0.9868,0.0035,1.0
,0.5325,0.9926,0.0035,1.0
,0.535,0.9902,0.0033,1.0
,0.5375,0.9846,0.0032,1.0
,0.54,0.9896,0.0032,1.0
,0.5425,0.9855,0.0031,1.0
,0.545,0.9918,0.0031,1.0
,0.5475,1.0073,0.0031,1.0
,0.55,1.0066,0.003,1.0
,0.5525,1.0057,0.0029,1.0
,0.555,1.008,0.0029,1.0
,0.5575,1.0089,0.0028,1.0
,0.56,1.0139,0.0028,1.0
,0.5625,1.0118,0.0028,1.0
,0.565,1.0206,0.0027,1.0
,0.5675,1.022,0.0027,1.0
,0.57,1.0198,0.0026,1.0
,0.5725,1.0239,0.0026,1.0
,0.575,1.0219,0.0026,1.0
,0.5775,1.0293,0.0025,1.0
,0.58,1.0256,0.0025,1.0
,0.5825,1.0321,0.0025,1.0
,0.585,1.038,0.0024,1.0
,0.5875,1.0341,0.0024,1.0
,0.59,1.0316,0.0024,1.0
,0.5925,1.0359,0.0024,1.0
,0.595,1.0421,0.0024,1.0
,0.5975,1.0479,0.0023,1.0
,0.6,1.0426,0.0023,1.0
,0.6025,1.0457,0.0023,1.0
,0.605,1.0504,0.0023,1.0
,0.6075,1.053,0.0023,1.0
,0.61,1.0529,0.0022,1.0
,0.6125,1.0518,0.0022,1.0
,0.615,1.0614,0.0022,1.0
,0.6175,1.0596,0.0022,1.0
,0.62,1.0687,0.0022,1.0
,0.6225,1.0744,0.0022,1.0
,0.625,1.07,0.0022,1.0
,0.6275,1.0699,0.0021,1.0
,0.63,1.0766,0.0022,1.0
,0.6325,1.0776,0.0021,1.0
,0.635,1.0782,0.0021,1.0
,0.6375,1.0834,0.0021,1.0
,0.64,1.0869,0.0021,1.0
,0.6425,1.0882,0.0021,1.0
,0.645,1.0879,0.0021,1.0
,0.6475,1.0927,0.0021,1.0
,0.65,1.0916,0.0021,1.0
,0.6525,1.0944,0.0021,1.0
,0.655,1.1003,0.0021,1.0
,0.6575,1.0945,0.0021,1.0
,0.66,1.0935,0.0021,1.0
,0.6625,1.1146,0.0021,1.0
,0.665,1.107,0.002,1.0
,0.6675,1.1041,0.002,1.0
,0.67,1.1053,0.002,1.0
,0.6725,1.112,0.002,1.0
,0.675,1.114,0.002,1.0
,0.6775,1.1122,0.002,1.0
,0.68,1.1202,0.002,1.0
,0.6825,1.1214,0.002,1.0
,0.685,1.1179,0.002,1.0
,0.6875,1.1228,0.002,1.0
,0.69,1.1114,0.0021,1.0
,0.6925,1.1239,0.0022,1.0
,0.695,1.1371,0.0021,1.0
,0.6975,1.1297,0.0021,1.0
,0.7,1.1289,0.0021,1.0
,0.7025,1.1368,0.0021,1.0
,0.705,1.1357,0.0021,1.0
,0.7075,1.1316,0.0021,1.0
,0.71,1.1381,0.0021,1.0
,0.7125,1.1381,0.0021,1.0
,0.715,1.1364,0.0021,1.0
,0.7175,1.1397,0.0021,1.0
,0.72,1.1407,0.0022,1.0
,0.7225,1.1445,0.0022,1.0
,0.725,1.1465,0.0022,1.0
,0.7275,1.1472,0.0022,1.0
,0.73,1.1487,0.0022,1.0
,0.7325,1.1497,0.0022,1.0
,0.735,1.1559,0.0022,1.0
,0.7375,1.1512,0.0022,1.0
,0.74,1.1485,0.0022,1.0
,0.7425,1.1562,0.0023,1.0
,0.745,1.1572,0.0023,1.0
,0.7475,1.1609,0.0023,1.0
,0.75,1.1531,0.0023,1.0
,0.7525,1.1579,0.0023,1.0
,0.755,1.16,0.0023,1.0
,0.7575,1.154,0.0023,1.0
,0.77,1.1654,0.0042,1.0
,0.7725,1.1504,0.0024,1.0
,0.775,1.146,0.0024,1.0
,0.7775,1.1498,0.0024,1.0
,0.78,1.145,0.0024,1.0
,0.7825,1.1505,0.0024,1.0
,0.785,1.1508,0.0024,1.0
,0.7875,1.1491,0.0024,1.0
,0.79,1.1461,0.0024,1.0
,0.7925,1.1491,0.0025,1.0
,0.795,1.1487,0.0025,1.0
,0.7975,1.1503,0.0025,1.0
,0.8,1.1405,0.0025,1.0
,0.8025,1.1454,0.0025,1.0
,0.805,1.1449,0.0026,1.0
,0.8075,1.1458,0.0026,1.0
,0.81,1.1448,0.0026,1.0
,0.8125,1.1441,0.0027,1.0
,0.815,1.1426,0.0027,1.0
,0.8175,1.1427,0.0027,1.0
,0.82,1.1381,0.0033,4.0
,0.825,1.1431,0.0032,6.0
,0.83,1.1473,0.003,6.0
,0.835,1.1484,0.0032,6.0
,0.84,1.1509,0.0033,6.0
,0.845,1.1483,0.0033,6.0
,0.85,1.1552,0.0032,6.0
,0.855,1.1572,0.0033,6.0
,0.86,1.1548,0.0031,6.0
,0.865,1.1528,0.0033,6.0
,0.87,1.1561,0.0032,5.0
,0.875,1.1643,0.0033,6.0
,0.88,1.1662,0.003,6.0
,0.885,1.1708,0.0031,6.0
,0.89,1.1715,0.0032,6.0
,0.895,1.1695,0.0031,6.0
,0.9,1.1758,0.0028,6.0
,0.905,1.1876,0.0027,6.0
,0.91,1.1876,0.0027,6.0
,0.915,1.1893,0.0029,6.0
,0.92,1.1967,0.0029,6.0
,0.925,1.1998,0.0028,6.0
,0.93,1.196,0.003,6.0
,0.935,1.1915,0.0028,6.0
,0.94,1.1962,0.0028,6.0
,0.945,1.1975,0.003,6.0
,0.95,1.1944,0.0029,6.0
,0.955,1.2075,0.0027,6.0
,0.96,1.2145,0.0026,6.0
,0.97,1.1989,0.0028,2.0
,0.975,1.2179,0.0025,6.0
,0.98,1.21,0.0026,6.0
,0.985,1.2152,0.0026,6.0
,0.99,1.2081,0.0026,6.0
,0.995,1.2075,0.0025,6.0
,1.0,1.2169,0.0024,6.0
,1.005,1.2161,0.0026,6.0
,1.01,1.2156,0.0025,6.0
,1.015,1.2175,0.0024,6.0
,1.02,1.2148,0.0025,6.0
,1.025,1.2163,0.0024,6.0
,1.03,1.2267,0.0025,6.0
,1.035,1.2198,0.0024,6.0
,1.04,1.2273,0.0024,6.0
,1.045,1.2287,0.0023,6.0
,1.05,1.228,0.0023,6.0
,1.055,1.2326,0.0024,6.0
,1.06,1.2352,0.0024,6.0
,1.065,1.2302,0.0024,6.0
,1.07,1.2377,0.0023,6.0
,1.075,1.2391,0.0024,6.0
,1.08,1.2438,0.0023,6.0
,1.085,1.2411,0.0023,6.0
,1.09,1.2498,0.0023,6.0
,1.095,1.2566,0.0024,6.0
,1.1,1.2523,0.0022,6.0
,1.105,1.2576,0.0022,6.0
,1.11,1.2567,0.0023,6.0
,1.115,1.2487,0.0032,6.0
,1.12,1.2494,0.0032,5.0
,1.125,1.2616,0.003,6.0
,1.13,1.266,0.003,6.0
,1.135,1.2716,0.0026,6.0
,1.14,1.2771,0.0026,6.0
,1.145,1.2824,0.0024,6.0
,1.15,1.2885,0.0027,6.0
,1.155,1.2898,0.0023,6.0
,1.16,1.2907,0.0025,6.0
,1.165,1.292,0.0024,6.0
,1.17,1.2946,0.0024,6.0
,1.175,1.2901,0.0022,6.0
,1.18,1.3028,0.0024,6.0
,1.185,1.3063,0.0022,6.0
,1.19,1.3084,0.0023,6.0
,1.195,1.3078,0.0024,6.0
,1.2,1.3053,0.0022,6.0
,1.205,1.3098,0.0024,6.0
,1.21,1.3051,0.0022,6.0
,1.215,1.3182,0.0024,6.0
,1.22,1.316,0.0023,6.0
,1.225,1.3152,0.0022,6.0
,1.23,1.3196,0.0022,6.0
,1.235,1.313,0.0021,6.0
,1.24,1.3263,0.0022,6.0
,1.245,1.3243,0.0025,6.0
,1.25,1.3297,0.0023,6.0
,1.255,1.3317,0.0021,6.0
,1.26,1.3262,0.0025,6.0
,1.265,1.3338,0.0025,6.0
,1.27,1.3265,0.0024,6.0
,1.275,1.3354,0.0025,6.0
,1.28,1.3353,0.0024,6.0
,1.285,1.3424,0.0026,6.0
,1.29,1.3457,0.0025,6.0
,1.295,1.3497,0.0028,6.0
,1.3,1.3478,0.0023,6.0
,1.305,1.3367,0.0024,6.0
,1.31,1.3408,0.0023,6.0
,1.315,1.3436,0.0025,6.0
,1.32,1.3477,0.0024,6.0
,1.325,1.3518,0.0025,6.0
,1.33,1.3566,0.0026,6.0
,1.335,1.3595,0.0025,6.0
,1.34,1.3571,0.0027,5.0
,1.345,1.3362,0.0034,5.0
,1.35,1.3396,0.0041,3.0
,1.365,1.3839,0.0062,1.0
,1.37,1.38,0.0043,3.0
,1.375,1.3654,0.0041,5.0
,1.38,1.3654,0.0037,4.0
,1.385,1.3707,0.0035,3.0
,1.39,1.3653,0.0039,6.0
,1.395,1.3752,0.0044,4.0
,1.4,1.369,0.0039,4.0
,1.405,1.3789,0.0037,6.0
,1.41,1.3762,0.0039,6.0
,1.415,1.3839,0.004,5.0
,1.42,1.3878,0.0042,5.0
,1.425,1.3754,0.003,6.0
,1.43,1.379,0.003,5.0
,1.435,1.3883,0.0028,6.0
,1.44,1.389,0.0031,6.0
,1.445,1.3937,0.003,6.0
,1.45,1.3931,0.0031,5.0
,1.455,1.39,0.003,6.0
,1.46,1.3822,0.0027,6.0
,1.465,1.3874,0.0029,6.0
,1.47,1.3946,0.0028,6.0
,1.475,1.3935,0.0027,6.0
,1.48,1.3963,0.0031,6.0
,1.485,1.4023,0.0029,6.0
,1.49,1.4007,0.0028,6.0
,1.495,1.4036,0.0029,6.0
,1.5,1.401,0.0029,6.0
,1.505,1.3953,0.003,6.0
,1.51,1.3982,0.0028,6.0
,1.515,1.3982,0.0028,6.0
,1.52,1.4016,0.0029,6.0
,1.525,1.4091,0.0028,6.0
,1.53,1.405,0.0026,6.0
,1.535,1.3995,0.0027,6.0
,1.54,1.4045,0.0026,6.0
,1.545,1.4081,0.0028,6.0
,1.55,1.4065,0.0027,6.0
,1.555,1.4106,0.0027,6.0
,1.56,1.4122,0.0027,6.0
,1.565,1.4164,0.003,6.0
,1.57,1.419,0.0034,6.0
,1.575,1.4127,0.003,6.0
,1.58,1.4097,0.0033,6.0
,1.585,1.4059,0.0039,6.0
,1.59,1.4039,0.0031,6.0
,1.595,1.4046,0.0029,6.0
,1.6,1.4093,0.0029,6.0
,1.605,1.4102,0.0029,6.0
,1.61,1.4134,0.0033,6.0
,1.615,1.4114,0.0028,6.0
,1.62,1.4129,0.0028,6.0
,1.625,1.417,0.0029,6.0
,1.63,1.4184,0.0031,6.0
,1.635,1.4142,0.0031,6.0
,1.64,1.4127,0.0031,6.0
,1.645,1.414,0.0041,6.0
,1.65,1.4185,0.0029,6.0
,1.655,1.4084,0.0029,6.0
,1.66,1.4076,0.0029,6.0
,1.665,1.4073,0.0029,6.0
,1.67,1.4073,0.0029,6.0
,1.675,1.4059,0.0031,6.0
,1.68,1.4106,0.003,6.0
,1.685,1.4109,0.0032,6.0
,1.69,1.4082,0.003,6.0
,1.695,1.4112,0.0031,6.0
,1.7,1.4022,0.0034,6.0
,1.705,1.4055,0.0033,6.0
,1.71,1.4051,0.0039,6.0
,1.715,1.3964,0.0033,6.0
,1.72,1.403,0.0035,6.0
,1.725,1.4065,0.003,6.0
,1.73,1.4041,0.0032,6.0
,1.735,1.4055,0.0033,6.0
,1.74,1.4028,0.0034,6.0
,1.745,1.4151,0.0038,6.0
,1.75,1.4195,0.0035,5.0
,1.755,1.4041,0.0033,6.0
,1.76,1.404,0.0033,6.0
,1.765,1.3996,0.0034,6.0
,1.77,1.3959,0.0036,6.0
,1.775,1.4005,0.0035,6.0
,1.78,1.4005,0.0033,6.0
,1.785,1.4025,0.0033,6.0
,1.79,1.3984,0.0034,6.0
,1.795,1.3906,0.0036,6.0
,1.8,1.3883,0.0041,6.0
,1.805,1.3874,0.004,6.0
,1.81,1.3913,0.004,5.0
,1.815,1.3978,0.005,6.0
,1.82,1.3888,0.005,6.0
,1.825,1.3896,0.0052,5.0
,1.83,1.3847,0.0056,4.0
,1.835,1.4015,0.0069,5.0
,1.84,1.3818,0.0072,5.0
,1.845,1.3982,0.0064,4.0
,1.85,1.3943,0.0057,6.0
,1.855,1.3984,0.0059,6.0
,1.86,1.3986,0.0062,5.0
,1.865,1.4082,0.0065,3.0
,1.87,1.3836,0.0083,2.0
,1.875,1.3924,0.0082,3.0
,1.88,1.3806,0.0084,3.0
,1.885,1.3925,0.0079,3.0
,1.89,1.4058,0.0053,3.0
,1.895,1.3883,0.0048,5.0
,1.9,1.3945,0.007,5.0
,1.905,1.3921,0.0066,3.0
,1.91,1.3864,0.0065,5.0
,1.915,1.4011,0.0065,6.0
,1.92,1.379,0.0062,6.0
,1.925,1.3877,0.0058,6.0
,1.93,1.3789,0.005,6.0
,1.935,1.3816,0.0049,2.0
