Group,MIT_Binzel
Source,SMASS.mit.edu
Data_file,a001620.sp03.txt
Asteroid_or_meteorite,asteroid
Number,1620
Name,Geographos
Prov_designation,1951 RA
BDM_class,S
Orbit,APO
Delta_V,6.68
Orig_VIS_range,unknown,unknown
Orig_NIR_range,unknown,unknown
Albedo_value,0.19
Albedo_uncert
Albedo_reference,
Asteroid_diam,2.3
Asteroid_diam_uncert
Asteroid_diam_reference
Absolute_magnitude,15.6
Absolute_magnitude_reference,MITHNEOS
Asteroid_semimajor_axis,1.246
Asteroid_inclination,0.230049737
Asteroid_eccentricity,0.336
Asteroid_NIR_phase_angle,16.5
Asteroid_NIR_airmass
Asteroid_solar_distance
Asteroid_geo_distance
Asteroid_NIR_exposure_dur
NIR_telescope,IRTF
NIR_date_observation,28-Jan-97
NIR_UT_time_observation
NIR_exposure_time
NIR_stand_star
Asteroid_V_phase_angle
Asteroid_V_airmass
Asteroid_V_exposure_dur
V_telescope
V_date_observation
V_UT_time_observation
V_exposure_time
V_stand_star
Meteorite_sample_ID,na
Meteorite_gen_type,na
Meteorite_type,na
Meteorite_subtype,na
Meteorite_experimental_cond,na
Meteorite_particulate,na
Meteorite_min_size,na
Meteorite_max_size,na
Meteorite_texture,na
Meteorite_origin,na
Meteorite_lab_source,na
Meteorite_phase_angle,na
Meteorite_incident_angle,na
Meteorite_emission_angle,na
Meteorite_date_observation,na
Meteorite_range,na
Normalization,yes
Spliced_by,DeMeo
Column_heading,Wavelength_microns,Reflectance,Uncert,Quality_code
,0.435,0.7922,0.0341,1.0
,0.4375,0.7961,0.0308,1.0
,0.44,0.8531,0.0283,1.0
,0.4425,0.883,0.0251,1.0
,0.445,0.8556,0.0203,1.0
,0.4475,0.8623,0.0185,1.0
,0.45,0.8918,0.0166,1.0
,0.4525,0.9081,0.015,1.0
,0.455,0.8759,0.0137,1.0
,0.4575,0.8654,0.0129,1.0
,0.46,0.8735,0.0119,1.0
,0.4625,0.87,0.011,1.0
,0.465,0.8771,0.0103,1.0
,0.4675,0.8868,0.0096,1.0
,0.47,0.8906,0.0091,1.0
,0.4725,0.9056,0.0087,1.0
,0.475,0.9008,0.0082,1.0
,0.4775,0.9166,0.0077,1.0
,0.48,0.9044,0.0072,1.0
,0.4825,0.9002,0.0068,1.0
,0.485,0.9149,0.0065,1.0
,0.4875,0.9043,0.0061,1.0
,0.49,0.9133,0.0059,1.0
,0.4925,0.8913,0.0058,1.0
,0.495,0.9349,0.0058,1.0
,0.4975,0.9425,0.0055,1.0
,0.5,0.9268,0.0051,1.0
,0.5025,0.9468,0.0053,1.0
,0.505,0.9439,0.0051,1.0
,0.5075,0.9426,0.005,1.0
,0.51,0.9446,0.0046,1.0
,0.5125,0.9515,0.0044,1.0
,0.515,0.943,0.0042,1.0
,0.5175,0.9486,0.0041,1.0
,0.52,0.9538,0.0039,1.0
,0.5225,0.9571,0.0038,1.0
,0.525,0.9602,0.0038,1.0
,0.5275,0.9839,0.0039,1.0
,0.53,1.0014,0.0037,1.0
,0.5325,0.9949,0.0035,1.0
,0.535,0.9702,0.0034,1.0
,0.5375,0.9983,0.0034,1.0
,0.54,0.9928,0.0032,1.0
,0.5425,0.9895,0.0031,1.0
,0.545,0.9987,0.0031,1.0
,0.5475,0.9873,0.003,1.0
,0.55,1.0029,0.003,1.0
,0.5525,1.0161,0.0029,1.0
,0.555,1.0082,0.0028,1.0
,0.5575,1.0111,0.0028,1.0
,0.56,1.0175,0.0027,1.0
,0.5625,1.0234,0.0027,1.0
,0.565,1.0234,0.0028,1.0
,0.5675,1.0172,0.0028,1.0
,0.57,1.0339,0.0028,1.0
,0.5725,1.0318,0.0026,1.0
,0.575,1.0353,0.0025,1.0
,0.5775,1.0372,0.0025,1.0
,0.58,1.0401,0.0025,1.0
,0.5825,1.0403,0.0024,1.0
,0.585,1.0322,0.0024,1.0
,0.5875,1.0432,0.0024,1.0
,0.59,1.0489,0.0023,1.0
,0.5925,1.0418,0.0023,1.0
,0.595,1.0378,0.0023,1.0
,0.5975,1.0561,0.0023,1.0
,0.6,1.0634,0.0023,1.0
,0.6025,1.0595,0.0022,1.0
,0.605,1.0567,0.0022,1.0
,0.6075,1.0656,0.0022,1.0
,0.61,1.066,0.0022,1.0
,0.6125,1.0701,0.0022,1.0
,0.615,1.0706,0.0022,1.0
,0.6175,1.0672,0.0022,1.0
,0.62,1.0752,0.0021,1.0
,0.6225,1.0801,0.0021,1.0
,0.625,1.0882,0.0021,1.0
,0.6275,1.0774,0.002,1.0
,0.63,1.0833,0.0021,1.0
,0.6325,1.0914,0.0021,1.0
,0.635,1.0844,0.0021,1.0
,0.6375,1.1008,0.0021,1.0
,0.64,1.0981,0.002,1.0
,0.6425,1.0942,0.002,1.0
,0.645,1.1055,0.002,1.0
,0.6475,1.1086,0.002,1.0
,0.65,1.1061,0.002,1.0
,0.6525,1.1156,0.002,1.0
,0.655,1.1124,0.002,1.0
,0.6575,1.1032,0.002,1.0
,0.66,1.1182,0.002,1.0
,0.6625,1.1357,0.002,1.0
,0.665,1.1295,0.0019,1.0
,0.6675,1.1311,0.0019,1.0
,0.67,1.1261,0.0019,1.0
,0.6725,1.136,0.0019,1.0
,0.675,1.1384,0.0019,1.0
,0.6775,1.1317,0.0019,1.0
,0.68,1.1391,0.0019,1.0
,0.6825,1.1455,0.0019,1.0
,0.685,1.1438,0.0019,1.0
,0.6875,1.1233,0.002,1.0
,0.69,1.145,0.0021,1.0
,0.6925,1.1592,0.002,1.0
,0.695,1.156,0.002,1.0
,0.6975,1.1505,0.002,1.0
,0.7,1.1532,0.0019,1.0
,0.7025,1.1554,0.002,1.0
,0.705,1.1625,0.002,1.0
,0.7075,1.1626,0.0019,1.0
,0.71,1.1612,0.0019,1.0
,0.7125,1.1606,0.002,1.0
,0.715,1.1638,0.002,1.0
,0.7175,1.1561,0.002,1.0
,0.72,1.1561,0.002,1.0
,0.7225,1.1683,0.0021,1.0
,0.725,1.1674,0.0021,1.0
,0.7275,1.1591,0.0021,1.0
,0.73,1.1675,0.0022,1.0
,0.7325,1.1704,0.0022,1.0
,0.735,1.1711,0.0022,1.0
,0.7375,1.1666,0.0022,1.0
,0.74,1.1693,0.0022,1.0
,0.7425,1.1724,0.0022,1.0
,0.745,1.1742,0.0023,1.0
,0.7475,1.1661,0.0021,1.0
,0.75,1.163,0.0021,1.0
,0.7525,1.1632,0.0022,1.0
,0.755,1.1687,0.0022,1.0
,0.765,1.1555,0.0047,1.0
,0.7675,1.1698,0.0034,1.0
,0.77,1.1602,0.0025,1.0
,0.7725,1.157,0.0026,1.0
,0.775,1.1456,0.0026,1.0
,0.7775,1.1428,0.0026,1.0
,0.78,1.137,0.0024,1.0
,0.7825,1.141,0.0024,1.0
,0.785,1.1305,0.0025,1.0
,0.7875,1.1394,0.0025,1.0
,0.79,1.1386,0.0025,1.0
,0.7925,1.1375,0.0025,1.0
,0.795,1.1397,0.0025,1.0
,0.7975,1.1308,0.0025,1.0
,0.8,1.1223,0.0025,1.0
,0.8025,1.1199,0.0025,1.0
,0.805,1.1176,0.0025,1.0
,0.8075,1.1099,0.0025,1.0
,0.81,1.1121,0.0025,1.0
,0.8125,1.1042,0.0025,1.0
,0.815,1.0943,0.0028,1.0
,0.8175,1.0909,0.0028,1.0
,0.82,1.1033,0.0062,4.0
,0.825,1.1041,0.0061,4.0
,0.83,1.0997,0.0062,4.0
,0.835,1.0869,0.0059,4.0
