Group,MIT_Binzel
Source,SMASS.mit.edu
Data_file,a001685.sp37.txt
Asteroid_or_meteorite,asteroid
Number,1685
Name,Toro
Prov_designation,1948 OA
BDM_class,Sq
Orbit,APO
Delta_V,6.63
Orig_VIS_range,unknown,unknown
Orig_NIR_range,unknown,unknown
Albedo_value,0.26
Albedo_uncert
Albedo_reference,
Asteroid_diam,3.8
Asteroid_diam_uncert
Asteroid_diam_reference
Absolute_magnitude,14.2
Absolute_magnitude_reference,MITHNEOS
Asteroid_semimajor_axis,1.367
Asteroid_inclination,0.163325962
Asteroid_eccentricity,0.436
Asteroid_NIR_phase_angle,22.1
Asteroid_NIR_airmass
Asteroid_solar_distance
Asteroid_geo_distance
Asteroid_NIR_exposure_dur
NIR_telescope,IRTF
NIR_date_observation,7-May-98
NIR_UT_time_observation
NIR_exposure_time
NIR_stand_star
Asteroid_V_phase_angle
Asteroid_V_airmass
Asteroid_V_exposure_dur
V_telescope
V_date_observation
V_UT_time_observation
V_exposure_time
V_stand_star
Meteorite_sample_ID,na
Meteorite_gen_type,na
Meteorite_type,na
Meteorite_subtype,na
Meteorite_experimental_cond,na
Meteorite_particulate,na
Meteorite_min_size,na
Meteorite_max_size,na
Meteorite_texture,na
Meteorite_origin,na
Meteorite_lab_source,na
Meteorite_phase_angle,na
Meteorite_incident_angle,na
Meteorite_emission_angle,na
Meteorite_date_observation,na
Meteorite_range,na
Normalization,yes
Spliced_by,DeMeo
Column_heading,Wavelength_microns,Reflectance,Uncert,Quality_code
,0.435,0.809,0.047,1.0
,0.438,0.79,0.042,1.0
,0.44,0.787,0.037,1.0
,0.443,0.799,0.032,1.0
,0.445,0.816,0.029,1.0
,0.448,0.813,0.026,1.0
,0.45,0.831,0.023,1.0
,0.453,0.832,0.021,1.0
,0.455,0.861,0.02,1.0
,0.458,0.837,0.018,1.0
,0.46,0.843,0.016,1.0
,0.463,0.855,0.015,1.0
,0.465,0.878,0.014,1.0
,0.468,0.879,0.014,1.0
,0.47,0.884,0.013,1.0
,0.473,0.887,0.012,1.0
,0.475,0.886,0.011,1.0
,0.478,0.887,0.011,1.0
,0.48,0.906,0.01,1.0
,0.483,0.917,0.01,1.0
,0.485,0.908,0.009,1.0
,0.488,0.902,0.009,1.0
,0.49,0.923,0.009,1.0
,0.493,0.92,0.008,1.0
,0.495,0.922,0.008,1.0
,0.498,0.936,0.008,1.0
,0.5,0.93,0.007,1.0
,0.503,0.94,0.007,1.0
,0.505,0.934,0.007,1.0
,0.508,0.938,0.007,1.0
,0.51,0.945,0.007,1.0
,0.513,0.955,0.006,1.0
,0.515,0.977,0.006,1.0
,0.518,0.966,0.006,1.0
,0.52,0.965,0.006,1.0
,0.523,0.982,0.006,1.0
,0.525,0.955,0.008,1.0
,0.54,0.99,0.007,1.0
,0.543,0.98,0.005,1.0
,0.545,0.993,0.005,1.0
,0.548,1.0,0.005,1.0
,0.55,0.998,0.005,1.0
,0.553,1.006,0.004,1.0
,0.555,1.01,0.004,1.0
,0.558,1.005,0.004,1.0
,0.56,1.012,0.004,1.0
,0.563,1.034,0.005,1.0
,0.565,1.025,0.005,1.0
