Group,MIT_Binzel
Source,SMASS.mit.edu
Data_file,a001839.sp05.txt
Asteroid_or_meteorite,asteroid
Number,1839
Name,Ragazza
Prov_designation,
BDM_class,S
Orbit,MB
Delta_V
Orig_VIS_range,unknown,unknown
Orig_NIR_range,unknown,unknown
Albedo_value
Albedo_uncert
Albedo_reference
Asteroid_diam
Asteroid_diam_uncert
Asteroid_diam_reference
Absolute_magnitude,11.94
Absolute_magnitude_reference,http://hamilton.dm.unipi.it/~astdys2/propsynth/all.syn
Asteroid_semimajor_axis,2.8000315
Asteroid_sin_inclination,0.1582741
Asteroid_eccentricity,0.141211
Asteroid_NIR_phase_angle
Asteroid_NIR_airmass
Asteroid_solar_distance
Asteroid_geo_distance
Asteroid_NIR_exposure_dur
NIR_telescope,IRTF
NIR_date_observation,28-Mar-9
NIR_UT_time_observation
NIR_stand_star
Asteroid_V_phase_angle
Asteroid_V_airmass
Asteroid_V_exposure_dur
V_telescope
V_date_observation
V_UT_time_observation
V_stand_star
Meteorite_sample_ID,na
Meteorite_gen_type,na
Meteorite_type,na
Meteorite_subtype,na
Meteorite_experimental_cond,na
Meteorite_particulate,na
Meteorite_min_size,na
Meteorite_max_size,na
Meteorite_texture,na
Meteorite_origin,na
Meteorite_lab_source,na
Meteorite_phase_angle,na
Meteorite_incident_angle,na
Meteorite_emission_angle,na
Meteorite_volt,na
Meteorite_date_observation,na
Meteorite_time_observation,na
Meteorite_range,na,na
Normalization,yes
Spliced_by,DeMeo
Column_heading,Wavelength_microns,Reflectance,Uncert,Quality_code
,0.435,0.8049,0.1962,1.0
,0.4375,0.848,0.1719,1.0
,0.44,0.8153,0.1554,1.0
,0.4425,0.8425,0.1345,1.0
,0.445,0.8967,0.1193,1.0
,0.4475,0.8264,0.1065,1.0
,0.45,0.8341,0.095,1.0
,0.4525,0.985,0.0853,1.0
,0.455,0.9125,0.0791,1.0
,0.4575,0.8864,0.072,1.0
,0.46,0.7942,0.0659,1.0
,0.465,0.7758,0.0818,1.0
,0.4675,0.9111,0.0531,1.0
,0.47,0.8528,0.0498,1.0
,0.4725,0.8309,0.0463,1.0
,0.475,0.8142,0.0432,1.0
,0.4775,0.9663,0.0406,1.0
,0.48,0.8838,0.0377,1.0
,0.4825,0.9452,0.0355,1.0
,0.485,0.878,0.0335,1.0
,0.4875,0.8639,0.033,1.0
,0.49,0.9467,0.0327,1.0
,0.4925,0.8956,0.0298,1.0
,0.495,0.8444,0.0286,1.0
,0.4975,0.8136,0.027,1.0
,0.5,0.9322,0.0257,1.0
,0.5025,0.9883,0.025,1.0
,0.505,0.9032,0.0241,1.0
,0.5075,0.8671,0.0228,1.0
,0.51,0.8955,0.0218,1.0
,0.5125,0.9275,0.021,1.0
,0.515,0.9148,0.0203,1.0
,0.5175,0.8995,0.02,1.0
,0.52,0.9598,0.0201,1.0
,0.5225,0.9881,0.0196,1.0
,0.525,0.8757,0.0254,1.0
,0.5475,1.0148,0.014,1.0
,0.55,1.0152,0.0137,1.0
,0.5525,1.0133,0.0134,1.0
,0.555,1.0358,0.0131,1.0
,0.5575,1.0698,0.0129,1.0
,0.56,1.0727,0.0133,1.0
,0.5625,1.0811,0.0133,1.0
,0.565,1.035,0.0125,1.0
,0.5675,1.0603,0.0119,1.0
,0.57,1.002,0.0117,1.0
,0.5725,1.0364,0.0116,1.0
,0.575,0.9874,0.0113,1.0
,0.5775,1.0338,0.011,1.0
,0.58,1.0307,0.0108,1.0
,0.5825,1.0227,0.0107,1.0
,0.585,1.0578,0.0105,1.0
,0.5875,1.0851,0.0103,1.0
,0.59,1.0243,0.0105,1.0
,0.5925,1.0274,0.0108,1.0
,0.595,1.0645,0.0106,1.0
,0.5975,1.0619,0.0101,1.0
,0.6,1.0793,0.0098,1.0
,0.6025,1.0613,0.0096,1.0
,0.605,1.0702,0.0096,1.0
,0.6075,1.0782,0.0093,1.0
,0.61,1.1024,0.0092,1.0
,0.6125,1.1096,0.0091,1.0
,0.615,1.0676,0.009,1.0
,0.6175,1.1042,0.009,1.0
,0.62,1.105,0.0089,1.0
,0.6225,1.0934,0.0087,1.0
,0.625,1.0813,0.0086,1.0
,0.6275,1.1163,0.0087,1.0
,0.63,1.1064,0.0089,1.0
,0.6325,1.0768,0.0091,1.0
,0.635,1.075,0.009,1.0
,0.6375,1.1247,0.0087,1.0
,0.64,1.1219,0.0084,1.0
,0.6425,1.1098,0.0083,1.0
,0.645,1.131,0.0081,1.0
,0.6475,1.1226,0.008,1.0
