Group,MIT_Binzel
Source,SMASS.mit.edu
Data_file,a002354.sp21.txt
Asteroid_or_meteorite,asteroid
Number,2354
Name,Lavrov
Prov_designation,
BDM_class,L
Orbit,MB
Delta_V
Orig_VIS_range,unknown,unknown
Orig_NIR_range,unknown,unknown
Albedo_value
Albedo_uncert
Albedo_reference
Asteroid_diam
Asteroid_diam_uncert
Asteroid_diam_reference
Absolute_magnitude,11.82
Absolute_magnitude_reference,http://hamilton.dm.unipi.it/~astdys2/propsynth/all.syn
Asteroid_semimajor_axis,2.7306769
Asteroid_sin_inclination,0.0537865
Asteroid_eccentricity,0.0636928
Asteroid_NIR_phase_angle
Asteroid_NIR_airmass
Asteroid_solar_distance
Asteroid_geo_distance
Asteroid_NIR_exposure_dur
NIR_telescope,IRTF
NIR_date_observation,16-Mar-9
NIR_UT_time_observation
NIR_stand_star
Asteroid_V_phase_angle
Asteroid_V_airmass
Asteroid_V_exposure_dur
V_telescope
V_date_observation
V_UT_time_observation
V_stand_star
Meteorite_sample_ID,na
Meteorite_gen_type,na
Meteorite_type,na
Meteorite_subtype,na
Meteorite_experimental_cond,na
Meteorite_particulate,na
Meteorite_min_size,na
Meteorite_max_size,na
Meteorite_texture,na
Meteorite_origin,na
Meteorite_lab_source,na
Meteorite_phase_angle,na
Meteorite_incident_angle,na
Meteorite_emission_angle,na
Meteorite_volt,na
Meteorite_date_observation,na
Meteorite_time_observation,na
Meteorite_range,na,na
Normalization,yes
Spliced_by,DeMeo
Column_heading,Wavelength_microns,Reflectance,Uncert,Quality_code
,0.4375,0.7217,0.0532,1.0
,0.44,0.7104,0.0471,1.0
,0.4425,0.7634,0.042,1.0
,0.445,0.7664,0.0386,1.0
,0.4475,0.7963,0.0347,1.0
,0.45,0.8309,0.0314,1.0
,0.4525,0.8282,0.0293,1.0
,0.455,0.8333,0.0274,1.0
,0.4575,0.8205,0.0251,1.0
,0.46,0.817,0.0234,1.0
,0.4625,0.7861,0.0214,1.0
,0.465,0.8286,0.0204,1.0
,0.4675,0.8554,0.0194,1.0
,0.47,0.8313,0.0181,1.0
,0.4725,0.8427,0.0171,1.0
,0.475,0.8213,0.0161,1.0
,0.4775,0.8598,0.0154,1.0
,0.48,0.8449,0.0145,1.0
,0.4825,0.876,0.0139,1.0
,0.485,0.8838,0.0135,1.0
,0.4875,0.907,0.0137,1.0
,0.49,0.9253,0.0131,1.0
,0.4925,0.8554,0.0119,1.0
,0.495,0.8883,0.0115,1.0
,0.4975,0.8911,0.011,1.0
,0.5,0.9135,0.0107,1.0
,0.5025,0.8878,0.0104,1.0
,0.505,0.9208,0.0101,1.0
,0.5075,0.9082,0.0097,1.0
,0.51,0.9115,0.0093,1.0
,0.5125,0.9208,0.0091,1.0
,0.515,0.9228,0.0088,1.0
,0.5325,0.9495,0.0104,1.0
,0.535,0.9658,0.0072,1.0
,0.5375,0.9752,0.0071,1.0
,0.54,0.9911,0.0069,1.0
,0.5425,0.9868,0.0068,1.0
,0.545,0.9829,0.0067,1.0
,0.5475,0.998,0.0066,1.0
,0.55,0.9938,0.0064,1.0
,0.5525,0.9996,0.0063,1.0
,0.555,1.0111,0.0062,1.0
,0.5575,1.0213,0.0062,1.0
,0.56,1.0217,0.0066,1.0
