Group,MIT_Binzel
Source,SMASS.mit.edu
Data_file,a002448.sp21.txt
Asteroid_or_meteorite,asteroid
Number,2448
Name,Sholokhov
Prov_designation,
BDM_class,L
Orbit,MB
Delta_V
Orig_VIS_range,unknown,unknown
Orig_NIR_range,unknown,unknown
Albedo_value
Albedo_uncert
Albedo_reference
Asteroid_diam
Asteroid_diam_uncert
Asteroid_diam_reference
Absolute_magnitude,10.82
Absolute_magnitude_reference,http://hamilton.dm.unipi.it/~astdys2/propsynth/all.syn
Asteroid_semimajor_axis,2.791797
Asteroid_sin_inclination,0.2943058
Asteroid_eccentricity,0.1461739
Asteroid_NIR_phase_angle
Asteroid_NIR_airmass
Asteroid_solar_distance
Asteroid_geo_distance
Asteroid_NIR_exposure_dur
NIR_telescope,IRTF
NIR_date_observation,15-Mar-9
NIR_UT_time_observation
NIR_stand_star
Asteroid_V_phase_angle
Asteroid_V_airmass
Asteroid_V_exposure_dur
V_telescope
V_date_observation
V_UT_time_observation
V_stand_star
Meteorite_sample_ID,na
Meteorite_gen_type,na
Meteorite_type,na
Meteorite_subtype,na
Meteorite_experimental_cond,na
Meteorite_particulate,na
Meteorite_min_size,na
Meteorite_max_size,na
Meteorite_texture,na
Meteorite_origin,na
Meteorite_lab_source,na
Meteorite_phase_angle,na
Meteorite_incident_angle,na
Meteorite_emission_angle,na
Meteorite_volt,na
Meteorite_date_observation,na
Meteorite_time_observation,na
Meteorite_range,na,na
Normalization,yes
Spliced_by,DeMeo
Column_heading,Wavelength_microns,Reflectance,Uncert,Quality_code
,0.435,0.888,0.0301,1.0
,0.4375,0.8391,0.0258,1.0
,0.44,0.8304,0.0232,1.0
,0.4425,0.8853,0.022,1.0
,0.445,0.8884,0.0198,1.0
,0.4475,0.8465,0.0178,1.0
,0.45,0.8488,0.0234,1.0
,0.4525,0.8993,0.0218,1.0
,0.455,0.8851,0.0203,1.0
,0.4575,0.8699,0.0132,1.0
,0.46,0.9167,0.0125,1.0
,0.4625,0.9073,0.0116,1.0
,0.465,0.8867,0.0108,1.0
,0.4675,0.8833,0.0102,1.0
,0.47,0.8896,0.0097,1.0
,0.4725,0.8964,0.0093,1.0
,0.475,0.897,0.0088,1.0
,0.4775,0.8914,0.0083,1.0
,0.48,0.9056,0.008,1.0
,0.4825,0.9139,0.0077,1.0
,0.485,0.9233,0.0074,1.0
,0.4875,0.9238,0.007,1.0
,0.49,0.9221,0.0069,1.0
,0.4925,0.9396,0.007,1.0
,0.495,0.936,0.0065,1.0
,0.4975,0.9435,0.0062,1.0
,0.5,0.9406,0.006,1.0
,0.5025,0.9489,0.0057,1.0
,0.505,0.9368,0.0056,1.0
,0.5075,0.9379,0.0054,1.0
,0.51,0.9502,0.0053,1.0
,0.5125,0.9448,0.0051,1.0
,0.515,0.9384,0.0049,1.0
,0.5175,0.9366,0.0047,1.0
,0.52,0.9396,0.0047,1.0
,0.5225,0.9377,0.0046,1.0
,0.525,0.9405,0.0046,1.0
,0.5275,0.9655,0.0045,1.0
,0.53,0.9649,0.0043,1.0
,0.5325,0.9612,0.0042,1.0
,0.535,0.9833,0.0042,1.0
,0.5375,0.9983,0.0041,1.0
,0.54,0.9917,0.004,1.0
,0.5425,0.9924,0.0039,1.0
,0.545,0.993,0.0038,1.0
,0.5475,0.9906,0.0038,1.0
,0.55,1.0077,0.0037,1.0
,0.5525,0.9954,0.0036,1.0
,0.555,1.0089,0.0036,1.0
,0.5575,1.0143,0.0035,1.0
,0.56,1.0143,0.0035,1.0
,0.5625,1.0177,0.0035,1.0
,0.565,1.0154,0.0035,1.0
,0.5675,1.0174,0.0034,1.0
,0.57,1.0206,0.0033,1.0
,0.5725,1.0281,0.0032,1.0
,0.575,1.0291,0.0032,1.0
,0.5775,1.0381,0.0032,1.0
,0.58,1.0413,0.0031,1.0
,0.5825,1.0528,0.0031,1.0
,0.585,1.0501,0.0031,1.0
,0.5875,1.0547,0.003,1.0
,0.59,1.0576,0.003,1.0
,0.5925,1.0596,0.003,1.0
,0.595,1.0584,0.003,1.0
,0.5975,1.062,0.003,1.0
,0.6,1.0694,0.0029,1.0
,0.6025,1.0787,0.0029,1.0
,0.605,1.0694,0.0028,1.0
,0.6075,1.0758,0.0028,1.0
,0.61,1.0861,0.0028,1.0
,0.6125,1.0826,0.0028,1.0
,0.615,1.0892,0.0028,1.0
,0.6175,1.0827,0.0027,1.0
,0.62,1.0902,0.0027,1.0
,0.6225,1.0984,0.0027,1.0
,0.625,1.096,0.0027,1.0
