Group,MIT_Binzel
Source,SMASS.mit.edu
Data_file,a003628.sp50.txt
Asteroid_or_meteorite,asteroid
Number,3628
Name,Boznemcova
Prov_designation,
BDM_class,O
Orbit,MB
Delta_V
Orig_VIS_range,unknown,unknown
Orig_NIR_range,unknown,unknown
Albedo_value
Albedo_uncert
Albedo_reference
Asteroid_diam
Asteroid_diam_uncert
Asteroid_diam_reference
Absolute_magnitude,12.7
Absolute_magnitude_reference,http://hamilton.dm.unipi.it/~astdys2/propsynth/all.syn
Asteroid_semimajor_axis,2.5350085
Asteroid_sin_inclination,0.1023194
Asteroid_eccentricity,0.2537282
Asteroid_NIR_phase_angle
Asteroid_NIR_airmass
Asteroid_solar_distance
Asteroid_geo_distance
Asteroid_NIR_exposure_dur
NIR_telescope,IRTF
NIR_date_observation,29-Apr-0
NIR_UT_time_observation
NIR_stand_star
Asteroid_V_phase_angle
Asteroid_V_airmass
Asteroid_V_exposure_dur
V_telescope
V_date_observation
V_UT_time_observation
V_stand_star
Meteorite_sample_ID,na
Meteorite_gen_type,na
Meteorite_type,na
Meteorite_subtype,na
Meteorite_experimental_cond,na
Meteorite_particulate,na
Meteorite_min_size,na
Meteorite_max_size,na
Meteorite_texture,na
Meteorite_origin,na
Meteorite_lab_source,na
Meteorite_phase_angle,na
Meteorite_incident_angle,na
Meteorite_emission_angle,na
Meteorite_volt,na
Meteorite_date_observation,na
Meteorite_time_observation,na
Meteorite_range,na,na
Normalization,yes
Spliced_by,DeMeo
Column_heading,Wavelength_microns,Reflectance,Uncert,Quality_code
,0.435,0.9188,0.0639,1.0
,0.44,0.9558,0.0508,1.0
,0.4425,0.9388,0.0452,1.0
,0.445,0.9254,0.0401,1.0
,0.4475,0.9307,0.0358,1.0
,0.45,0.9158,0.0314,1.0
,0.4525,0.9161,0.0287,1.0
,0.455,0.9114,0.0266,1.0
,0.4575,0.9394,0.0244,1.0
,0.46,0.9478,0.0225,1.0
,0.4625,0.9129,0.0206,1.0
,0.465,0.8993,0.0269,1.0
,0.4675,0.955,0.026,1.0
,0.47,0.8994,0.0241,1.0
,0.4725,0.9264,0.0161,1.0
,0.475,0.9546,0.015,1.0
,0.4775,0.9432,0.0141,1.0
,0.48,0.9345,0.0132,1.0
,0.4825,0.9241,0.0124,1.0
,0.485,0.9327,0.0118,1.0
,0.4875,0.9501,0.0117,1.0
,0.49,0.9709,0.0119,1.0
,0.4925,0.9593,0.0108,1.0
,0.495,0.9651,0.0103,1.0
,0.4975,0.9615,0.0098,1.0
,0.5,0.9591,0.0093,1.0
,0.5025,0.9593,0.0091,1.0
,0.505,0.9636,0.0089,1.0
,0.5075,0.97,0.0085,1.0
,0.51,0.957,0.008,1.0
,0.5125,0.9674,0.0079,1.0
,0.515,0.9679,0.0076,1.0
,0.5175,0.9796,0.0075,1.0
,0.52,0.9812,0.0075,1.0
,0.5225,1.0136,0.0076,1.0
,0.525,1.0063,0.0071,1.0
,0.5275,0.9961,0.0068,1.0
,0.53,0.9776,0.0066,1.0
,0.5325,1.0211,0.0066,1.0
,0.535,0.9809,0.0061,1.0
,0.5375,1.0031,0.0061,1.0
,0.54,1.0038,0.0059,1.0
,0.5425,0.9951,0.0058,1.0
,0.545,0.9994,0.0058,1.0
,0.5475,0.9977,0.0056,1.0
,0.55,0.9912,0.0054,1.0
,0.5525,1.0044,0.0053,1.0
,0.555,1.0017,0.0052,1.0
,0.5575,1.0003,0.0051,1.0
,0.56,0.9999,0.0051,1.0
,0.5625,1.0083,0.0052,1.0
,0.565,1.0238,0.0051,1.0
,0.5675,1.015,0.0049,1.0
,0.57,1.0224,0.0048,1.0
,0.5725,1.0057,0.0047,1.0
,0.575,1.0102,0.0047,1.0
,0.5775,1.0194,0.0046,1.0
,0.58,1.0114,0.0045,1.0
,0.5825,1.0138,0.0045,1.0
,0.585,1.0192,0.0044,1.0
,0.5875,1.0107,0.0043,1.0
,0.59,1.0196,0.0043,1.0
