Group,MIT_Binzel
Source,SMASS.mit.edu
Data_file,a005401.sp21.txt
Asteroid_or_meteorite,asteroid
Number,5401
Name,Minamioda
Prov_designation,
BDM_class,Sw
Orbit,MB
Delta_V
Orig_VIS_range,unknown,unknown
Orig_NIR_range,unknown,unknown
Albedo_value
Albedo_uncert
Albedo_reference
Asteroid_diam
Asteroid_diam_uncert
Asteroid_diam_reference
Absolute_magnitude,11.94
Absolute_magnitude_reference,http://hamilton.dm.unipi.it/~astdys2/propsynth/all.syn
Asteroid_semimajor_axis,2.7960211
Asteroid_sin_inclination,0.1599033
Asteroid_eccentricity,0.1341862
Asteroid_NIR_phase_angle
Asteroid_NIR_airmass
Asteroid_solar_distance
Asteroid_geo_distance
Asteroid_NIR_exposure_dur
NIR_telescope,IRTF
NIR_date_observation,15-Mar-9
NIR_UT_time_observation
NIR_stand_star
Asteroid_V_phase_angle
Asteroid_V_airmass
Asteroid_V_exposure_dur
V_telescope
V_date_observation
V_UT_time_observation
V_stand_star
Meteorite_sample_ID,na
Meteorite_gen_type,na
Meteorite_type,na
Meteorite_subtype,na
Meteorite_experimental_cond,na
Meteorite_particulate,na
Meteorite_min_size,na
Meteorite_max_size,na
Meteorite_texture,na
Meteorite_origin,na
Meteorite_lab_source,na
Meteorite_phase_angle,na
Meteorite_incident_angle,na
Meteorite_emission_angle,na
Meteorite_volt,na
Meteorite_date_observation,na
Meteorite_time_observation,na
Meteorite_range,na,na
Normalization,yes
Spliced_by,DeMeo
Column_heading,Wavelength_microns,Reflectance,Uncert,Quality_code
,0.435,0.7777,0.0499,1.0
,0.4375,0.7721,0.0441,1.0
,0.44,0.7887,0.0393,1.0
,0.4425,0.803,0.035,1.0
,0.445,0.8166,0.031,1.0
,0.4475,0.8013,0.0276,1.0
,0.45,0.778,0.025,1.0
,0.4525,0.8013,0.0231,1.0
,0.455,0.8366,0.0213,1.0
,0.4575,0.839,0.0196,1.0
,0.46,0.8384,0.018,1.0
,0.4625,0.8542,0.017,1.0
,0.465,0.8462,0.0161,1.0
,0.4675,0.8733,0.0217,1.0
,0.47,0.8799,0.0203,1.0
,0.4725,0.8656,0.0131,1.0
,0.475,0.8758,0.0124,1.0
,0.4775,0.8624,0.0115,1.0
,0.48,0.8759,0.0109,1.0
,0.4825,0.8752,0.0106,1.0
,0.485,0.8941,0.0152,1.0
,0.4875,0.9017,0.0146,1.0
,0.49,0.893,0.0096,1.0
,0.4925,0.9072,0.0091,1.0
,0.495,0.9241,0.0087,1.0
,0.4975,0.9153,0.0084,1.0
,0.5,0.9259,0.0083,1.0
,0.5025,0.9331,0.0081,1.0
,0.505,0.9349,0.0076,1.0
,0.5075,0.9368,0.0074,1.0
,0.51,0.932,0.0071,1.0
,0.5125,0.9294,0.0069,1.0
,0.515,0.9418,0.0069,1.0
,0.5175,0.9769,0.0071,1.0
,0.52,0.9674,0.0068,1.0
,0.5225,0.9579,0.0064,1.0
,0.525,0.9571,0.0062,1.0
,0.5275,0.9752,0.0061,1.0
,0.53,0.9713,0.0058,1.0
,0.5325,0.9792,0.0056,1.0
,0.535,0.9784,0.0055,1.0
