Group,MIT_Binzel
Source,SMASS.mit.edu
Data_file,a006047.sp45.txt
Asteroid_or_meteorite,asteroid
Number,6047
Name,
Prov_designation,1991 TB1
BDM_class,S
Orbit,APO
Delta_V,8.23
Orig_VIS_range,unknown,unknown
Orig_NIR_range,unknown,unknown
Albedo_value,Assumed_0.23
Albedo_uncert
Albedo_reference,
Asteroid_diam,0.76
Asteroid_diam_uncert
Asteroid_diam_reference
Absolute_magnitude,17.8
Absolute_magnitude_reference,MITHNEOS
Asteroid_semimajor_axis,1.454
Asteroid_inclination,0.398749069
Asteroid_eccentricity,0.352
Asteroid_NIR_phase_angle,
Asteroid_NIR_airmass
Asteroid_solar_distance
Asteroid_geo_distance
Asteroid_NIR_exposure_dur
NIR_telescope,IRTF
NIR_date_observation,7-Oct-01
NIR_UT_time_observation
NIR_exposure_time
NIR_stand_star
Asteroid_V_phase_angle
Asteroid_V_airmass
Asteroid_V_exposure_dur
V_telescope
V_date_observation
V_UT_time_observation
V_exposure_time
V_stand_star
Meteorite_sample_ID,na
Meteorite_gen_type,na
Meteorite_type,na
Meteorite_subtype,na
Meteorite_experimental_cond,na
Meteorite_particulate,na
Meteorite_min_size,na
Meteorite_max_size,na
Meteorite_texture,na
Meteorite_origin,na
Meteorite_lab_source,na
Meteorite_phase_angle,na
Meteorite_incident_angle,na
Meteorite_emission_angle,na
Meteorite_date_observation,na
Meteorite_range,na
Normalization,yes
Spliced_by,DeMeo
Column_heading,Wavelength_microns,Reflectance,Uncert,Quality_code
,0.435,0.7502,0.0672,1.0
,0.4375,0.8312,0.0477,1.0
,0.44,0.8265,0.0434,1.0
,0.4425,0.7846,0.0374,1.0
,0.445,0.8336,0.0331,1.0
,0.4475,0.8495,0.0367,1.0
,0.45,0.7933,0.0317,1.0
,0.4525,0.8209,0.0229,1.0
,0.455,0.8434,0.0215,1.0
,0.4575,0.8344,0.0196,1.0
,0.46,0.8206,0.0179,1.0
,0.4625,0.845,0.0166,1.0
,0.465,0.8519,0.0153,1.0
,0.4675,0.8665,0.0146,1.0
,0.47,0.8487,0.0138,1.0
,0.4725,0.8689,0.0129,1.0
,0.475,0.8892,0.0122,1.0
,0.4775,0.8953,0.0113,1.0
,0.48,0.8866,0.0105,1.0
,0.4825,0.8914,0.0099,1.0
,0.485,0.8852,0.0094,1.0
,0.4875,0.8756,0.0091,1.0
,0.49,0.9434,0.0095,1.0
,0.4925,0.9212,0.0087,1.0
,0.495,0.9277,0.0082,1.0
,0.4975,0.9224,0.0078,1.0
,0.5,0.909,0.0074,1.0
,0.5025,0.9263,0.0072,1.0
,0.505,0.9409,0.0071,1.0
,0.5075,0.9402,0.0069,1.0
,0.51,0.9273,0.0064,1.0
,0.5125,0.9482,0.0063,1.0
,0.515,0.9508,0.0061,1.0
,0.5175,0.9481,0.0059,1.0
,0.52,0.9651,0.006,1.0
,0.5225,0.989,0.0061,1.0
,0.525,0.9598,0.0057,1.0
,0.5275,0.9666,0.0054,1.0
,0.53,0.9732,0.0053,1.0
,0.5325,1.0126,0.0053,1.0
,0.535,0.9679,0.0049,1.0
,0.5375,0.9896,0.0049,1.0
,0.54,0.9829,0.0047,1.0
,0.5425,0.983,0.0046,1.0
,0.545,0.9995,0.0046,1.0
,0.5475,0.9985,0.0045,1.0
,0.55,0.9981,0.0044,1.0
,0.5525,1.0046,0.0043,1.0
,0.555,1.0091,0.0043,1.0
,0.5575,1.0105,0.0042,1.0
,0.56,0.9985,0.0044,1.0
,0.5625,1.0245,0.0047,1.0
,0.565,1.0345,0.0046,1.0
,0.5675,1.0176,0.0041,1.0
,0.57,1.0302,0.0039,1.0
,0.5725,1.0227,0.0039,1.0
,0.575,1.0455,0.0039,1.0
,0.5775,1.0329,0.0038,1.0
,0.58,1.0304,0.0037,1.0
,0.5825,1.0479,0.0037,1.0
,0.585,1.0482,0.0036,1.0
,0.5875,1.0375,0.0035,1.0
,0.59,1.0445,0.0036,1.0
,0.5925,1.0503,0.0037,1.0
,0.595,1.0753,0.0038,1.0
,0.5975,1.0546,0.0036,1.0
,0.6,1.05,0.0035,1.0
,0.6025,1.0609,0.0034,1.0
,0.605,1.0681,0.0034,1.0
,0.6075,1.0625,0.0033,1.0
,0.61,1.0562,0.0032,1.0
,0.6125,1.0684,0.0032,1.0
,0.615,1.0699,0.0032,1.0
,0.6175,1.0842,0.0033,1.0
,0.62,1.085,0.0033,1.0
,0.6225,1.0836,0.0032,1.0
,0.625,1.0706,0.0032,1.0
,0.6275,1.0886,0.0032,1.0
,0.63,1.0942,0.0033,1.0
,0.6325,1.0983,0.0034,1.0
,0.635,1.1038,0.0033,1.0
