Group,MIT_Binzel
Source,SMASS.mit.edu
Data_file,a053435.sp55.txt
Asteroid_or_meteorite,asteroid
Number,53435
Name,
Prov_designation,1999 VM40
BDM_class,Srw
Orbit,AMO
Delta_V,7.71
Orig_VIS_range,unknown,unknown
Orig_NIR_range,unknown,unknown
Albedo_value,Assumed_0.23
Albedo_uncert
Albedo_reference,
Asteroid_diam,3.3
Asteroid_diam_uncert
Asteroid_diam_reference
Absolute_magnitude,14.6
Absolute_magnitude_reference,MITHNEOS
Asteroid_semimajor_axis,2.31
Asteroid_inclination,0.265556117
Asteroid_eccentricity,0.486
Asteroid_NIR_phase_angle,55.1
Asteroid_NIR_airmass
Asteroid_solar_distance
Asteroid_geo_distance
Asteroid_NIR_exposure_dur
NIR_telescope,IRTF
NIR_date_observation,24-Oct-02
NIR_UT_time_observation
NIR_exposure_time
NIR_stand_star
Asteroid_V_phase_angle
Asteroid_V_airmass
Asteroid_V_exposure_dur
V_telescope
V_date_observation
V_UT_time_observation
V_exposure_time
V_stand_star
Meteorite_sample_ID,na
Meteorite_gen_type,na
Meteorite_type,na
Meteorite_subtype,na
Meteorite_experimental_cond,na
Meteorite_particulate,na
Meteorite_min_size,na
Meteorite_max_size,na
Meteorite_texture,na
Meteorite_origin,na
Meteorite_lab_source,na
Meteorite_phase_angle,na
Meteorite_incident_angle,na
Meteorite_emission_angle,na
Meteorite_date_observation,na
Meteorite_range,na
Normalization,yes
Spliced_by,DeMeo
Column_heading,Wavelength_microns,Reflectance,Uncert,Quality_code
,0.36,0.6264,0.0021,1.0
,0.3625,0.6552,0.0023,1.0
,0.365,0.5889,0.0022,1.0
,0.3675,0.655,0.002,1.0
,0.37,0.6196,0.002,1.0
,0.3725,0.673,0.0023,1.0
,0.375,0.6575,0.0026,1.0
,0.3775,0.6573,0.0021,1.0
,0.38,0.6981,0.0024,1.0
,0.3825,0.7315,0.0041,1.0
,0.385,0.6702,0.0028,1.0
,0.3875,0.6962,0.0029,1.0
,0.39,0.6612,0.0028,1.0
,0.3925,0.7574,0.0055,1.0
,0.395,0.6579,0.0056,1.0
,0.3975,0.6673,0.0046,1.0
,0.4,0.7067,0.0039,1.0
,0.4025,0.7238,0.0032,1.0
,0.405,0.745,0.0036,1.0
,0.4075,0.7316,0.0036,1.0
,0.41,0.746,0.0037,1.0
,0.4125,0.7401,0.0036,1.0
,0.415,0.7457,0.0037,1.0
,0.4175,0.7546,0.0038,1.0
,0.42,0.7556,0.0039,1.0
,0.4225,0.7732,0.004,1.0
,0.425,0.7682,0.0041,1.0
,0.4275,0.7714,0.0042,1.0
,0.43,0.7913,0.0059,1.0
,0.435,0.7731,0.0045,1.0
,0.4375,0.7861,0.0044,1.0
,0.44,0.7968,0.0044,1.0
,0.4425,0.7977,0.0043,1.0
,0.445,0.8134,0.0044,1.0
,0.4475,0.803,0.0043,1.0
,0.45,0.8079,0.0042,1.0
,0.4525,0.8331,0.0044,1.0
,0.455,0.8157,0.0045,1.0
,0.4575,0.8293,0.0045,1.0
,0.46,0.8357,0.0046,1.0
,0.4625,0.8396,0.0045,1.0
,0.465,0.8518,0.0048,1.0
,0.4675,0.8589,0.0049,1.0
,0.47,0.8684,0.005,1.0
,0.4725,0.8593,0.0049,1.0
,0.475,0.8773,0.005,1.0
,0.4775,0.8675,0.005,1.0
,0.48,0.8731,0.005,1.0
,0.4825,0.8826,0.0051,1.0
,0.485,0.8981,0.0053,1.0
,0.4875,0.8844,0.0057,1.0
,0.49,0.8912,0.0054,1.0
,0.4925,0.9123,0.0057,1.0
,0.495,0.903,0.0056,1.0
,0.4975,0.9086,0.0057,1.0
,0.5,0.9155,0.0059,1.0
,0.5025,0.9165,0.006,1.0
,0.505,0.9047,0.0058,1.0
,0.5075,0.9296,0.0059,1.0
,0.51,0.9311,0.0062,1.0
,0.5125,0.9454,0.0074,1.0
,0.515,0.9493,0.0075,1.0
,0.5175,0.9663,0.0068,1.0
,0.52,0.9765,0.0066,1.0
,0.5225,0.9923,0.0098,1.0
,0.525,0.9789,0.01,1.0
,0.5275,0.9594,0.0188,1.0
,0.53,0.9829,0.0177,1.0
,0.5325,0.9449,0.0026,1.0
,0.535,0.9829,0.0015,1.0
,0.5375,0.9787,0.0013,1.0
,0.54,0.9835,0.0014,1.0
,0.5425,1.0097,0.0015,1.0
,0.545,1.0037,0.0015,1.0
,0.5475,1.0029,0.0015,1.0
,0.55,1.0113,0.0015,1.0
,0.5525,1.0026,0.0015,1.0
,0.555,1.0162,0.0016,1.0
,0.5575,0.99,0.0018,1.0
,0.56,1.013,0.0019,1.0
,0.5625,1.0216,0.0017,1.0
,0.565,1.0025,0.0016,1.0
,0.5675,1.0168,0.0017,1.0
,0.57,0.9999,0.0017,1.0
,0.5725,1.0324,0.0017,1.0
,0.575,1.0084,0.0017,1.0
,0.5775,1.0234,0.0017,1.0
,0.58,1.0361,0.0018,1.0
,0.5825,1.0372,0.0018,1.0
,0.585,1.0221,0.0018,1.0
,0.5875,1.0369,0.0019,1.0
,0.59,1.0375,0.0021,1.0
,0.5925,1.0495,0.002,1.0
,0.595,1.0342,0.0019,1.0
,0.5975,1.0432,0.0019,1.0
,0.6,1.0542,0.002,1.0
,0.6025,1.0626,0.002,1.0
,0.605,1.0655,0.002,1.0
,0.6075,1.0687,0.002,1.0
,0.61,1.0724,0.002,1.0
,0.6125,1.0697,0.002,1.0
,0.615,1.0779,0.0021,1.0
,0.6175,1.0906,0.0021,1.0
,0.62,1.0784,0.0021,1.0
,0.6225,1.0744,0.0021,1.0
,0.625,1.076,0.0022,1.0
,0.6275,1.0785,0.0022,1.0
,0.63,1.0668,0.0023,1.0
,0.6325,1.0825,0.0023,1.0
,0.635,1.0852,0.0023,1.0
,0.6375,1.1029,0.0023,1.0
,0.64,1.1003,0.0023,1.0
,0.6425,1.1047,0.0023,1.0
,0.645,1.1131,0.0023,1.0
,0.6475,1.1206,0.0024,1.0
,0.65,1.1307,0.0024,1.0
,0.6525,1.1297,0.0024,1.0
,0.655,1.0988,0.0051,1.0
,0.6575,1.1559,0.0054,1.0
,0.66,1.1437,0.0025,1.0
,0.6625,1.1311,0.0024,1.0
,0.665,1.1411,0.0025,1.0
,0.6675,1.1344,0.0025,1.0
,0.67,1.1396,0.0025,1.0
,0.6725,1.149,0.0029,1.0
,0.675,1.1525,0.0026,1.0
,0.6775,1.1482,0.0026,1.0
,0.68,1.1528,0.0026,1.0
,0.6825,1.1584,0.0027,1.0
,0.685,1.1324,0.0027,1.0
,0.6875,1.1432,0.0029,1.0
,0.69,1.1679,0.0029,1.0
,0.6925,1.1649,0.0029,1.0
,0.695,1.1644,0.0029,1.0
,0.6975,1.1583,0.0028,1.0
,0.7,1.1709,0.0029,1.0
,0.7025,1.1858,0.0029,1.0
,0.705,1.1717,0.0029,1.0
,0.7075,1.175,0.0029,1.0
,0.71,1.1814,0.0029,1.0
,0.7125,1.18,0.003,1.0
,0.715,1.1756,0.003,1.0
,0.7175,1.1648,0.0031,1.0
,0.72,1.2169,0.0033,1.0
,0.7225,1.2055,0.0033,1.0
,0.725,1.2072,0.0035,1.0
,0.7275,1.208,0.0035,1.0
,0.73,1.2131,0.0036,1.0
,0.7325,1.2122,0.0035,1.0
,0.735,1.2028,0.0035,1.0
,0.7375,1.2073,0.0035,1.0
,0.74,1.212,0.0034,1.0
,0.7425,1.2302,0.0034,1.0
,0.745,1.2186,0.0034,1.0
,0.7475,1.218,0.0034,1.0
,0.75,1.2076,0.0034,1.0
,0.7525,1.2225,0.0034,1.0
,0.755,1.2169,0.0035,1.0
,0.7675,1.2471,0.0054,1.0
,0.77,1.2105,0.0038,1.0
,0.7725,1.2129,0.004,1.0
,0.775,1.2312,0.0046,1.0
,0.7775,1.2233,0.004,1.0
,0.78,1.2013,0.0039,1.0
,0.7825,1.1968,0.004,1.0
,0.785,1.2027,0.0042,1.0
,0.7875,1.1952,0.0042,1.0
,0.79,1.1832,0.0041,1.0
,0.7925,1.1861,0.0042,1.0
,0.795,1.2204,0.0042,1.0
,0.7975,1.186,0.0041,1.0
,0.8,1.2026,0.0042,1.0
,0.8025,1.1956,0.0041,1.0
,0.805,1.1979,0.004,1.0
,0.8075,1.1799,0.0039,1.0
,0.81,1.1917,0.0039,1.0
,0.8125,1.1706,0.0039,1.0
,0.815,1.1643,0.004,1.0
,0.8175,1.1668,0.0041,1.0
,0.82,1.1606,0.0127,4.0
,0.825,1.1406,0.0123,4.0
,0.83,1.1422,0.0118,4.0
,0.835,1.1363,0.011,4.0
,0.84,1.1268,0.011,4.0
,0.845,1.1208,0.0104,4.0
,0.85,1.1339,0.011,4.0
,0.855,1.1093,0.0114,4.0
,0.86,1.1065,0.0107,4.0
,0.865,1.118,0.0108,4.0
,0.87,1.0798,0.011,4.0
,0.875,1.0753,0.0113,4.0
,0.88,1.0946,0.0099,4.0
,0.885,1.0936,0.0099,4.0
,0.89,1.0827,0.0102,4.0
,0.895,1.0903,0.0098,4.0
,0.9,1.1046,0.0098,4.0
,0.905,1.0872,0.0109,4.0
,0.91,1.0679,0.0102,4.0
,0.915,1.0786,0.0089,4.0
,0.92,1.0948,0.01,4.0
,0.925,1.0822,0.0109,4.0
,0.93,1.0634,0.0124,4.0
,0.935,1.0636,0.0125,4.0
,0.94,1.0737,0.0106,4.0
,0.945,1.0981,0.0109,4.0
,0.95,1.0993,0.0106,4.0
,0.955,1.0918,0.0106,4.0
,0.96,1.0906,0.0094,4.0
,0.965,1.1217,0.0095,4.0
,0.97,1.1311,0.0098,4.0
,0.975,1.1459,0.0102,4.0
,0.98,1.1515,0.0103,4.0
,0.985,1.1546,0.0091,4.0
,0.99,1.1866,0.0098,4.0
,0.995,1.1959,0.011,4.0
,1.0,1.1913,0.0092,4.0
,1.005,1.2138,0.009,4.0
,1.01,1.2185,0.0092,4.0
,1.015,1.1947,0.0086,4.0
,1.02,1.2184,0.0113,4.0
,1.025,1.2511,0.0098,4.0
,1.03,1.2459,0.0097,4.0
,1.035,1.2609,0.0107,4.0
,1.04,1.2528,0.0093,4.0
,1.045,1.2497,0.0087,4.0
,1.05,1.296,0.0085,4.0
,1.055,1.302,0.0114,4.0
,1.06,1.2834,0.0089,4.0
,1.065,1.2867,0.0091,4.0
,1.07,1.3158,0.0095,4.0
,1.075,1.3195,0.0088,4.0
,1.08,1.3055,0.0089,4.0
,1.085,1.313,0.0098,4.0
,1.09,1.3261,0.0105,4.0
,1.095,1.3377,0.0091,4.0
,1.1,1.3416,0.0093,4.0
,1.105,1.3337,0.0102,4.0
,1.11,1.3455,0.012,4.0
,1.115,1.3494,0.0127,4.0
,1.12,1.3473,0.0178,4.0
,1.125,1.3736,0.0146,4.0
,1.13,1.3763,0.0112,4.0
,1.135,1.3762,0.0115,4.0
,1.14,1.3805,0.0103,4.0
,1.145,1.3957,0.0098,4.0
,1.15,1.3829,0.0102,4.0
,1.155,1.3633,0.0113,2.0
,1.16,1.3919,0.0116,3.0
,1.165,1.3941,0.0107,4.0
,1.17,1.4079,0.0095,4.0
,1.175,1.4244,0.0099,4.0
,1.18,1.4173,0.0096,4.0
,1.185,1.4328,0.0088,4.0
