Group,MIT_Binzel
Source,SMASS.mit.edu
Data_file,au2001TX16.sp11.txt
Asteroid_or_meteorite,asteroid
Number,405058
Name,
Prov_designation,2001 TX16
BDM_class,X
Orbit,MC
Delta_V,
Orig_VIS_range,unknown,unknown
Orig_NIR_range,unknown,unknown
Albedo_value,Assumed_0.13
Albedo_uncert
Albedo_reference,
Asteroid_diam,5.8
Asteroid_diam_uncert
Asteroid_diam_reference
Absolute_magnitude,14
Absolute_magnitude_reference,MITHNEOS
Asteroid_semimajor_axis,3.583
Asteroid_inclination,0.140901232
Asteroid_eccentricity,0.598
Asteroid_NIR_phase_angle,23.5
Asteroid_NIR_airmass
Asteroid_solar_distance
Asteroid_geo_distance
Asteroid_NIR_exposure_dur
NIR_telescope,IRTF
NIR_date_observation,14-Mar-98
NIR_UT_time_observation
NIR_exposure_time
NIR_stand_star
Asteroid_V_phase_angle
Asteroid_V_airmass
Asteroid_V_exposure_dur
V_telescope
V_date_observation
V_UT_time_observation
V_exposure_time
V_stand_star
Meteorite_sample_ID,na
Meteorite_gen_type,na
Meteorite_type,na
Meteorite_subtype,na
Meteorite_experimental_cond,na
Meteorite_particulate,na
Meteorite_min_size,na
Meteorite_max_size,na
Meteorite_texture,na
Meteorite_origin,na
Meteorite_lab_source,na
Meteorite_phase_angle,na
Meteorite_incident_angle,na
Meteorite_emission_angle,na
Meteorite_date_observation,na
Meteorite_range,na
Normalization,yes
Spliced_by,DeMeo
Column_heading,Wavelength_microns,Reflectance,Uncert,Quality_code
,0.4875,0.9866,0.0236,1.0
,0.49,0.9907,0.0133,1.0
,0.4925,1.0083,0.0113,1.0
,0.495,0.9976,0.0133,1.0
,0.4975,0.9756,0.0117,1.0
,0.5,0.9981,0.0132,1.0
,0.5025,0.9911,0.0132,1.0
,0.505,0.9946,0.0112,1.0
,0.5075,0.9698,0.0112,1.0
,0.51,1.0274,0.0131,1.0
,0.5125,0.9992,0.0128,1.0
,0.515,1.0079,0.0126,1.0
,0.5175,0.9809,0.0122,1.0
,0.52,1.0252,0.0127,1.0
,0.5225,0.9963,0.0126,1.0
,0.525,0.9818,0.0128,1.0
,0.5275,0.9959,0.0116,1.0
,0.53,1.0048,0.0103,1.0
,0.5325,0.9856,0.0116,1.0
,0.535,1.0137,0.0119,1.0
,0.5375,1.0049,0.0108,1.0
,0.54,1.0006,0.0129,1.0
,0.545,0.9968,0.0127,1.0
,0.5475,1.0013,0.0096,1.0
,0.55,0.9917,0.0116,1.0
,0.5525,1.0159,0.0132,1.0
,0.555,1.0073,0.0107,1.0
,0.5575,0.9964,0.0109,1.0
,0.56,1.0034,0.0101,1.0
,0.5625,1.0041,0.0122,1.0
,0.565,1.0117,0.0135,1.0
,0.5675,1.0011,0.0112,1.0
,0.57,1.0002,0.0109,1.0
,0.5725,0.9959,0.0107,1.0
,0.575,1.0041,0.0111,1.0
,0.5775,1.0074,0.0107,1.0
,0.58,0.9836,0.0111,1.0
,0.5825,0.9939,0.0109,1.0
,0.585,1.0045,0.0115,1.0
,0.5875,1.0012,0.0124,1.0
,0.59,0.9886,0.0116,1.0
,0.5925,0.9936,0.0113,1.0
,0.595,1.0008,0.0119,1.0
,0.5975,0.9996,0.0109,1.0
,0.6,1.009,0.0123,1.0
,0.6025,0.9989,0.0118,1.0
,0.605,0.9923,0.0116,1.0
,0.6075,1.0028,0.0111,1.0
,0.61,1.0092,0.012,1.0
,0.6125,1.0057,0.0116,1.0
,0.615,1.0218,0.0113,1.0
,0.6175,0.9983,0.012,1.0
,0.62,1.0141,0.0122,1.0
,0.6225,1.019,0.0126,1.0
,0.625,0.9999,0.0115,1.0
,0.6275,1.0179,0.0103,1.0
,0.63,1.0267,0.0108,1.0
,0.6325,1.027,0.0107,1.0
,0.635,1.0305,0.0113,1.0
,0.6375,1.014,0.0101,1.0
,0.64,1.0215,0.0107,1.0
,0.6425,1.018,0.0127,1.0
,0.645,1.012,0.0154,1.0
,0.6475,1.0228,0.0117,1.0
,0.6575,1.0319,0.0109,1.0
,0.66,1.0321,0.0103,1.0
,0.6625,1.0339,0.0132,1.0
,0.67,1.0307,0.0137,1.0
,0.6725,1.0323,0.0118,1.0
,0.675,1.0371,0.011,1.0
,0.6775,1.0302,0.0128,1.0
,0.68,1.0279,0.0122,1.0
,0.69,1.0407,0.0097,1.0
,0.6925,1.0427,0.0113,1.0
,0.695,1.0564,0.0116,1.0
,0.6975,1.0479,0.0137,1.0
,0.7,1.0448,0.0125,1.0
,0.7025,1.0627,0.0113,1.0
,0.705,1.0429,0.0128,1.0
,0.7075,1.0529,0.0121,1.0
,0.71,1.0406,0.0332,1.0
,0.7125,1.0424,0.0309,1.0
,0.7225,1.0484,0.0106,1.0
,0.725,1.0851,0.0126,1.0
,0.7275,1.073,0.0094,1.0
,0.735,1.0817,0.0117,1.0
,0.7375,1.0678,0.011,1.0
,0.74,1.0568,0.0122,1.0
,0.7425,1.0847,0.0118,1.0
,0.745,1.0801,0.0141,1.0
,0.7475,1.0727,0.0211,1.0
,0.75,1.086,0.0117,1.0
,0.7525,1.0834,0.0114,1.0
,0.77,1.0971,0.0185,1.0
,0.7725,1.1024,0.014,1.0
,0.775,1.1094,0.0146,1.0
,0.7775,1.1063,0.0149,1.0
,0.78,1.1062,0.0138,1.0
,0.7825,1.0966,0.0124,1.0
,0.785,1.1008,0.013,1.0
,0.7875,1.1272,0.0129,1.0
,0.79,1.0924,0.0114,1.0
,0.7925,1.1296,0.0124,1.0
,0.795,1.1211,0.0188,1.0
,0.7975,1.0882,0.0205,1.0
,0.8,1.117,0.0126,1.0
,0.8025,1.1413,0.0107,1.0
,0.805,1.1107,0.0182,1.0
